id,sex,age,height,weight,income,education,confession,children,happiness,fitness,food,alcohol,tattoos,rhine,datause,consultations,hiking,fasnacht,eyecor
2913,female,43,168,67.8,7200,apprenticeship,confessionless,0,6,9,810,2,0,4,106,3,82,no,yes
2914,male,41,177.8,102.5,6600,SEK_II,catholic,1,8,7,880,46,2,5,85,4,112,no,yes
2915,female,75,157.5,70.3,12400,SEK_II,confessionless,2,7,6,1130,31,0,5,86,3,69,no,no
2916,female,63,173.5,78.1,6600,obligatory_school,NA,4,5,6,530,18,6,0,113,7,64,no,yes
2917,female,48,151.7,63,6900,apprenticeship,NA,1,8,2,750,19,8,0,114,1,48,no,no
2918,male,37,171.7,79.4,5700,apprenticeship,NA,1,6,7,400,53,1,3,88,1,56,no,yes
2919,female,52,159,73.3,9600,SEK_III,NA,4,7,7,1170,17,1,1,89,5,72,no,yes
2920,female,31,170.7,58,4900,SEK_III,catholic,0,7,5,750,0,0,6,91,3,47,no,yes
2921,female,67,171.9,59,NA,obligatory_school,evangelical-reformed,1,6,6,NA,26,9,2,110,4,45,no,yes
2922,female,82,167.9,NA,12700,SEK_III,catholic,1,8,7,1680,0,0,6,90,4,40,no,no
2923,female,72,181.9,NA,NA,SEK_III,confessionless,3,6,4,NA,24,0,6,101,4,33,no,yes
2924,female,62,154.6,64.2,8800,SEK_II,NA,2,6,5,960,27,1,2,104,4,59,no,yes
2925,female,33,173,60.4,4e3,SEK_II,evangelical-reformed,3,7,2,720,33,2,5,62,6,68,no,yes
2926,male,50,177.5,102.6,10600,apprenticeship,evangelical-reformed,2,6,5,430,56,6,1,108,3,41,no,no
2927,female,23,165.1,62.9,5700,SEK_III,evangelical-reformed,0,7,3,910,16,7,4,63,6,77,no,no
2928,female,27,169.4,65.2,3700,apprenticeship,confessionless,1,7,4,860,0,0,6,104,8,57,no,yes
2929,male,37,161.3,NA,NA,apprenticeship,muslim,2,8,1,NA,21,6,4,80,3,74,no,yes
2930,female,24,152.4,59.4,6400,SEK_III,evangelical-reformed,2,8,7,1120,7,0,3,87,6,74,no,yes
2931,female,60,156.8,NA,12200,SEK_II,catholic,0,7,3,1380,40,0,4,64,4,35,no,no
2932,male,39,182.5,42,6200,apprenticeship,NA,2,7,4,820,21,7,3,116,7,60,no,yes
2933,female,21,169.6,71.2,5500,obligatory_school,confessionless,2,7,2,870,0,2,2,57,3,72,no,yes
2934,male,26,174.3,107.4,6800,SEK_III,evangelical-reformed,3,6,5,1060,12,0,4,70,2,37,no,no
2935,female,66,153.4,56.1,11e3,apprenticeship,other,3,7,5,1310,19,2,6,95,6,50,no,no
2936,female,79,148.9,NA,14100,apprenticeship,muslim,1,7,7,1360,43,2,5,97,2,51,no,yes
2937,female,31,164.1,73.6,NA,apprenticeship,evangelical-reformed,2,9,6,NA,29,0,3,109,5,75,no,no
2938,female,37,170.4,71.9,5600,apprenticeship,confessionless,2,9,6,880,14,0,2,75,6,73,no,yes
2939,female,18,178.1,50.2,NA,SEK_III,confessionless,1,8,4,NA,27,0,7,102,6,27,no,no
2940,male,45,180.8,104.2,NA,SEK_II,catholic,3,5,10,NA,0,3,7,70,3,97,no,no
2941,female,96,175.6,66.3,14900,apprenticeship,confessionless,1,5,2,1660,16,0,0,91,3,83,no,yes
2942,male,31,187.2,87.4,4400,SEK_III,confessionless,0,7,7,40,43,2,5,97,6,82,no,no
2943,male,49,191,105.4,8700,SEK_III,evangelical-reformed,3,7,6,740,39,0,3,122,2,59,no,yes
2944,male,44,168.9,82.3,7100,apprenticeship,catholic,1,6,8,790,28,0,8,70,5,93,no,yes
2945,male,37,169.8,79.4,4400,apprenticeship,other,3,6,3,530,38,1,6,84,4,83,no,no
2946,female,31,156.7,59,6400,SEK_III,confessionless,4,7,6,870,16,0,2,75,2,14,no,yes
2947,male,27,180.7,75.4,5600,SEK_III,catholic,3,7,5,240,45,0,5,81,3,41,no,yes
2948,male,56,185.6,92,10500,apprenticeship,confessionless,3,7,5,1240,34,7,5,86,4,23,no,yes
2949,male,26,176.3,64.7,3200,SEK_III,catholic,2,7,4,390,47,2,2,96,4,30,yes,yes
2950,male,21,185.2,93,3500,obligatory_school,evangelical-reformed,4,7,3,800,32,3,7,88,7,71,no,no
2951,male,68,162.2,85.2,10100,apprenticeship,confessionless,2,5,5,1070,0,0,0,69,5,41,no,yes
2952,female,76,154.7,71.7,10600,apprenticeship,NA,3,7,3,1390,12,0,4,90,6,132,no,yes
2953,female,44,167.9,53.4,6500,SEK_III,NA,2,7,2,590,41,0,2,110,6,78,no,yes
2954,male,47,173.4,NA,NA,SEK_III,catholic,2,9,6,NA,0,0,7,51,2,66,no,no
2955,male,62,174.2,75.1,8300,SEK_III,evangelical-reformed,2,9,5,630,54,6,0,70,4,53,no,yes
2956,female,73,170.5,63.2,12800,apprenticeship,catholic,2,7,5,1570,19,5,4,109,5,57,no,yes
2957,female,36,172.8,67.9,7300,apprenticeship,catholic,1,5,7,860,27,3,1,95,7,110,no,yes
2958,female,71,170,64.7,10400,apprenticeship,catholic,1,7,6,1190,26,0,6,110,5,61,no,yes
2959,male,52,189.6,81.6,10200,SEK_III,catholic,2,7,6,900,42,0,7,134,2,44,no,yes
2960,male,61,187.1,87.3,8500,SEK_III,evangelical-reformed,2,8,6,600,58,6,2,112,1,65,no,yes
2961,female,53,155.1,64.1,12100,apprenticeship,NA,1,5,10,1500,0,2,5,109,5,84,no,no
2962,male,28,187.6,NA,4400,SEK_III,catholic,1,8,5,790,36,0,0,89,1,105,no,yes
2963,female,82,164.2,52.6,14400,SEK_II,catholic,2,6,2,1510,6,0,5,72,6,56,no,yes
2964,female,61,176.7,68.1,10700,apprenticeship,NA,3,6,5,850,33,0,5,96,5,49,no,yes
2965,female,40,159.2,59.3,6100,SEK_III,evangelical-reformed,4,9,7,800,28,2,3,70,2,60,no,yes
2966,female,50,171.9,64.5,NA,apprenticeship,confessionless,2,5,7,NA,0,4,1,103,7,57,no,yes
2967,male,51,167.2,89,7800,SEK_III,catholic,1,7,5,530,40,0,6,105,3,39,no,yes
2968,male,26,180.9,86,NA,SEK_III,catholic,2,7,4,NA,0,4,5,82,3,67,no,yes
2969,female,45,158.9,56.1,8800,SEK_III,evangelical-reformed,3,6,3,1070,0,0,5,67,5,57,no,yes
2970,male,46,174.3,93.5,5700,apprenticeship,confessionless,1,9,5,690,47,7,1,97,3,68,no,yes
2971,male,44,172.5,NA,8100,SEK_III,confessionless,2,7,8,1070,3,0,0,100,1,26,no,yes
2972,male,31,178.4,80.3,4700,SEK_II,NA,1,6,3,10,63,0,6,90,7,76,no,no
2973,female,37,162.1,71.9,4800,SEK_II,catholic,0,7,5,410,16,0,4,75,8,76,no,yes
2974,female,38,171.2,79.6,7900,apprenticeship,evangelical-reformed,2,6,4,780,27,0,3,96,1,65,no,yes
2975,male,25,188.3,94.7,4300,SEK_III,confessionless,1,7,5,480,36,0,6,85,5,71,no,no
2976,female,89,166.9,52,13200,obligatory_school,NA,0,8,6,1e3,37,0,0,56,2,73,no,yes
2977,male,22,169.2,99.3,3700,apprenticeship,confessionless,4,7,6,940,0,0,2,71,1,99,no,yes
2978,male,24,192,87.6,5300,SEK_III,evangelical-reformed,3,5,2,900,0,6,4,72,1,54,no,yes
2979,female,32,158,47.2,7900,apprenticeship,confessionless,1,7,3,990,30,5,4,101,9,41,no,yes
2980,female,31,169.7,NA,5200,SEK_II,evangelical-reformed,2,6,3,320,25,7,2,39,3,68,no,no
2981,male,38,186.2,77.3,NA,apprenticeship,evangelical-reformed,0,7,2,NA,41,5,1,69,3,40,no,yes
2982,female,19,158,57.3,4900,obligatory_school,confessionless,1,8,5,930,0,3,2,71,5,20,no,no
2983,male,54,188.2,102,7700,SEK_III,catholic,2,6,7,760,34,0,4,62,1,48,no,no
2984,male,31,191,76.9,4700,apprenticeship,catholic,0,6,2,940,0,6,6,97,4,72,no,yes
2985,male,37,170.9,NA,4600,apprenticeship,catholic,2,5,6,680,0,0,4,71,4,67,no,yes
2986,male,49,171.1,87.9,8400,SEK_III,confessionless,1,6,7,710,0,2,7,74,3,47,no,yes
2987,male,61,181.4,91.3,10500,SEK_III,catholic,4,7,6,720,49,5,2,96,2,45,no,yes
2988,male,31,188.3,NA,3900,SEK_III,NA,1,6,3,630,53,0,1,50,1,80,no,no
2989,female,59,141,71.1,9500,obligatory_school,other,0,7,4,1250,32,0,6,120,8,55,no,no
2990,female,34,183.9,42.3,4800,obligatory_school,muslim,2,7,5,540,39,0,5,72,6,70,no,no
2991,male,52,176.2,92.9,8100,SEK_III,catholic,2,7,5,930,46,0,3,91,3,74,no,yes
2992,male,29,173.5,71,4600,apprenticeship,catholic,2,8,6,550,47,0,4,96,5,76,no,yes
2993,female,33,189,63.2,5700,apprenticeship,confessionless,1,7,6,910,22,0,5,77,8,83,no,no
2994,female,21,174,61,NA,SEK_III,confessionless,1,6,3,NA,16,0,4,89,5,87,no,no
2995,female,34,167.6,81.6,6100,apprenticeship,catholic,2,6,7,1200,0,0,8,77,5,87,no,yes
2996,male,49,158.4,74.4,NA,apprenticeship,other,1,7,6,NA,0,3,8,119,7,64,no,yes
2997,male,60,182.5,70.8,11100,apprenticeship,catholic,2,6,4,1210,58,6,6,58,2,76,no,no
2998,female,67,153.1,64.9,11300,apprenticeship,evangelical-reformed,2,6,7,1020,12,0,5,66,5,47,no,yes
2999,female,31,166.7,66.7,8300,apprenticeship,catholic,1,5,7,450,35,0,5,86,4,84,no,no
3000,male,36,154.5,84.1,4500,apprenticeship,catholic,2,6,8,870,0,0,8,94,2,81,no,no
3001,male,34,185.4,94.8,5500,apprenticeship,confessionless,0,7,5,930,0,6,4,107,3,47,no,yes
3002,female,31,179.8,73.2,NA,SEK_III,confessionless,3,7,3,NA,23,0,3,86,6,59,no,yes
3003,female,31,157.8,75.2,NA,apprenticeship,catholic,2,6,7,NA,34,0,4,127,5,73,no,yes
3004,female,86,159,57.9,13400,apprenticeship,NA,2,5,6,1450,24,0,5,102,4,74,no,no
3005,male,35,181.6,101.1,6500,SEK_III,evangelical-reformed,1,7,4,1170,0,7,6,110,2,35,no,yes
3006,female,38,168.5,57.6,7200,SEK_III,NA,1,8,6,680,22,0,3,79,6,49,no,yes
3007,male,53,185.8,96.8,9300,apprenticeship,NA,3,6,4,840,56,9,0,75,2,88,no,yes
3008,female,91,163.3,55.5,NA,SEK_III,confessionless,2,7,5,NA,19,0,0,77,3,82,no,yes
3009,male,29,185.9,84.1,NA,apprenticeship,NA,3,10,6,NA,0,1,10,79,5,75,no,yes
3010,male,64,178.8,92.9,10300,obligatory_school,catholic,2,6,4,1140,47,0,6,69,3,75,no,yes
3011,female,29,160.5,63.9,4400,apprenticeship,catholic,2,7,3,230,41,5,4,73,4,63,no,yes
3012,female,75,164.6,75.1,13400,SEK_II,evangelical-reformed,4,8,4,1100,36,3,5,93,10,68,no,yes
3013,female,25,143,60.6,3900,SEK_III,confessionless,3,6,3,360,40,0,5,84,3,48,no,no
3014,male,59,173.6,NA,10700,apprenticeship,evangelical-reformed,1,6,5,820,30,0,3,112,7,72,no,no
3015,male,44,194.3,89.7,NA,SEK_III,evangelical-reformed,2,8,7,NA,24,0,1,117,5,56,no,yes
3016,female,72,169.1,61.2,NA,apprenticeship,NA,2,7,5,NA,42,0,3,89,4,61,no,yes
3017,male,58,170.4,88.5,9600,apprenticeship,catholic,1,7,4,620,43,2,5,93,1,0,no,no
3018,male,75,184.6,80.3,10400,SEK_III,confessionless,2,8,5,750,65,0,6,75,4,47,no,yes
3019,male,31,166.6,91.7,5700,SEK_III,NA,1,8,3,650,32,0,3,98,3,105,no,yes
3020,male,52,160.6,90.5,9400,apprenticeship,catholic,2,6,8,1030,31,8,7,82,4,104,no,yes
3021,female,31,153.3,54.6,NA,obligatory_school,evangelical-reformed,2,6,4,NA,15,0,7,59,4,103,no,yes
3022,female,36,154,NA,4900,apprenticeship,evangelical-reformed,2,8,4,550,21,6,6,89,2,28,no,yes
3023,male,57,192,63.3,NA,SEK_II,catholic,0,7,4,NA,30,0,3,87,4,56,no,yes
3024,female,73,164.8,62.3,12e3,apprenticeship,catholic,4,8,6,1400,19,2,8,92,4,35,no,no
3025,male,21,186.1,61.2,3600,obligatory_school,muslim,1,6,7,180,43,0,3,62,3,70,no,no
3026,female,28,147.7,71.1,2800,SEK_II,confessionless,2,6,6,210,31,5,8,37,3,66,no,yes
3027,male,72,182.9,78.5,10500,apprenticeship,evangelical-reformed,4,7,3,1600,23,0,0,58,5,101,no,no
3028,male,31,178.5,64.5,6600,SEK_III,evangelical-reformed,1,8,3,700,0,5,1,63,2,102,no,yes
3029,female,45,168.1,63.4,7200,apprenticeship,evangelical-reformed,1,7,6,860,53,0,4,84,7,64,no,yes
3030,male,28,170.5,83.5,3200,SEK_III,NA,1,7,4,320,47,0,4,110,7,59,yes,no
3031,female,28,182,57.9,7e3,SEK_III,NA,0,7,6,1170,0,0,0,104,3,71,no,yes
3032,female,45,167.3,NA,7500,SEK_III,NA,2,7,7,1070,20,0,2,85,3,74,no,yes
3033,female,32,164.3,73.4,2700,obligatory_school,catholic,1,8,5,480,22,9,7,84,5,58,no,yes
3034,male,33,179.5,68.6,3900,SEK_III,catholic,2,7,3,-10,50,0,7,67,1,116,no,yes
3035,male,22,179.2,67.6,5700,SEK_III,confessionless,4,7,5,680,0,0,6,77,4,98,no,yes
3036,female,43,152.5,77.8,NA,apprenticeship,catholic,1,5,6,NA,0,0,7,104,4,33,no,yes
3037,male,31,163.3,76.5,6e3,apprenticeship,NA,2,7,3,920,31,0,3,92,2,81,no,yes
3038,female,52,163.8,NA,8900,SEK_III,catholic,2,6,6,900,30,2,3,107,5,82,no,no
3039,male,85,176.8,85.2,13e3,apprenticeship,catholic,2,6,5,1440,0,0,2,105,0,48,no,yes
3040,male,44,180.9,91.2,9600,SEK_III,evangelical-reformed,2,8,7,600,64,5,7,139,2,99,no,yes
3041,male,25,182,89.4,5600,apprenticeship,confessionless,1,7,6,680,18,6,4,61,2,67,no,yes
3042,male,29,182.2,NA,4800,apprenticeship,confessionless,0,7,7,520,47,4,6,98,6,30,no,no
3043,female,80,145.6,64.8,11400,SEK_III,confessionless,2,7,3,1210,0,3,8,79,9,55,no,yes
3044,male,21,158.6,87.7,2400,apprenticeship,evangelical-reformed,1,7,7,520,42,4,0,89,2,58,no,yes
3045,male,57,199.7,99.9,9300,obligatory_school,confessionless,1,9,3,1540,0,6,3,88,4,76,yes,no
3046,male,51,175.6,103.6,8e3,SEK_III,catholic,1,7,4,570,68,3,2,65,4,19,no,yes
3047,female,40,164,68.8,6400,obligatory_school,NA,3,7,8,850,15,3,2,71,3,59,no,yes
3048,female,31,161.3,62.5,4700,SEK_III,confessionless,2,7,7,630,20,0,6,71,6,55,no,yes
3049,female,36,170.6,62,5600,apprenticeship,catholic,1,8,8,600,29,0,5,117,4,55,no,no
3050,male,48,174.1,74.4,NA,SEK_III,catholic,2,8,3,NA,63,2,4,84,6,69,no,yes
3051,male,45,187.2,86.8,9100,SEK_III,NA,1,5,4,740,46,0,3,95,3,92,no,no
3052,male,47,172.8,104,7500,obligatory_school,confessionless,3,8,5,760,45,0,7,82,7,46,no,yes
3053,female,48,165.3,63.7,9800,SEK_III,confessionless,3,5,2,750,25,0,3,78,6,73,no,yes
3054,female,87,164.2,55.1,13200,apprenticeship,confessionless,2,8,6,1430,32,7,4,83,5,46,no,no
3055,female,31,153.1,76.1,3300,obligatory_school,catholic,3,8,8,410,42,0,3,91,6,96,no,no
3056,male,67,192.8,90.8,9800,SEK_III,confessionless,0,9,4,1020,28,0,6,94,4,74,no,yes
3057,female,41,146.4,60.4,8400,SEK_III,evangelical-reformed,2,6,2,810,23,0,5,109,5,61,no,yes
3058,female,65,161.2,71,11300,apprenticeship,catholic,3,6,6,1350,32,0,4,72,3,85,no,no
3059,female,49,150.6,54,NA,apprenticeship,evangelical-reformed,2,7,4,NA,11,4,5,107,6,46,no,no
3060,female,34,162.9,NA,5900,apprenticeship,catholic,0,9,6,1180,36,8,1,85,5,90,no,yes
3061,female,27,164.5,66.5,6600,obligatory_school,confessionless,1,7,7,960,13,0,3,81,2,42,no,no
3062,female,48,155.9,70.4,7100,SEK_III,catholic,1,6,2,950,7,0,3,51,3,45,no,yes
3063,male,42,187.2,98,7400,SEK_III,confessionless,1,6,7,590,0,0,9,83,2,46,no,yes
3064,male,31,200.8,NA,8200,SEK_III,confessionless,2,9,7,380,61,4,5,86,5,16,no,yes
3065,male,51,175,101.2,9e3,apprenticeship,catholic,1,7,6,850,37,5,7,108,1,95,no,yes
3066,male,63,171,102.6,10300,apprenticeship,evangelical-reformed,0,7,2,1510,26,0,2,84,1,41,no,yes
3067,female,47,148.5,57.4,8e3,SEK_III,catholic,2,8,2,460,35,0,6,94,8,53,yes,no
3068,female,59,184.2,73.2,NA,SEK_III,confessionless,3,6,4,NA,20,5,6,70,4,51,no,yes
3069,male,24,187.5,113.5,2600,SEK_III,confessionless,3,6,1,90,36,4,1,54,2,32,no,no
3070,female,48,180.9,67.8,7100,apprenticeship,other,2,9,7,1100,15,0,3,54,3,45,no,yes
3071,female,47,156.7,72.2,8900,apprenticeship,muslim,5,6,6,960,29,0,6,130,3,37,no,yes
3072,male,31,165.5,NA,NA,obligatory_school,evangelical-reformed,2,5,4,NA,37,0,7,48,2,43,no,yes
3073,male,20,196.2,87.1,3800,apprenticeship,evangelical-reformed,3,7,7,640,8,1,3,81,2,30,no,yes
3074,female,79,161.2,68.8,12600,obligatory_school,muslim,1,5,5,1300,19,0,2,74,5,41,no,yes
3075,male,42,173.8,96.6,NA,obligatory_school,muslim,2,6,7,NA,20,5,3,72,2,75,no,yes
3076,female,40,180.4,56.8,8600,apprenticeship,confessionless,2,7,7,950,37,0,3,91,4,43,no,no
3077,female,81,155.3,69.4,NA,SEK_III,NA,1,8,7,NA,0,1,6,76,8,43,no,yes
3078,male,31,177.3,NA,3900,SEK_III,catholic,3,8,4,370,35,0,5,38,6,76,no,no
3079,female,49,172.2,76.3,NA,apprenticeship,evangelical-reformed,1,5,2,NA,34,2,3,111,8,22,no,no
3080,female,20,163.6,59.1,NA,SEK_III,catholic,1,7,5,NA,19,3,3,73,6,31,no,yes
3081,male,44,183.4,89.3,9400,SEK_III,evangelical-reformed,2,7,7,950,42,0,4,70,3,44,no,yes
3082,female,28,160.1,44.1,5e3,obligatory_school,catholic,2,6,8,900,26,2,4,109,5,42,no,yes
3083,female,47,167.8,48.8,7500,obligatory_school,evangelical-reformed,1,7,5,660,33,6,8,112,5,70,no,yes
3084,female,51,185.6,43.7,7300,obligatory_school,confessionless,3,7,5,1070,0,3,1,108,4,21,no,yes
3085,male,24,185.4,89.6,3600,apprenticeship,evangelical-reformed,2,5,2,-260,58,1,5,118,3,58,no,no
3086,female,36,168,NA,6500,obligatory_school,catholic,2,6,5,880,29,0,1,93,5,33,no,no
3087,male,31,188.8,98.7,6300,SEK_III,confessionless,1,7,6,480,40,3,3,98,2,70,no,no
3088,female,51,171.4,NA,8200,SEK_III,evangelical-reformed,0,7,2,770,19,6,6,85,4,54,no,no
3089,female,57,156.9,41.7,9700,SEK_II,catholic,2,7,3,1450,25,0,7,88,6,48,no,yes
3090,female,51,160.7,54,9200,SEK_III,confessionless,2,7,3,1150,0,5,7,101,7,78,no,yes
3091,male,56,177.2,90.2,10700,SEK_III,evangelical-reformed,2,8,6,1440,40,3,9,93,3,66,no,yes
3092,male,46,181.4,97.2,7900,SEK_III,confessionless,0,7,9,580,33,7,10,85,3,12,yes,yes
3093,female,27,170.7,60.1,5300,SEK_III,catholic,2,7,5,590,18,0,4,118,8,29,no,yes
3094,female,28,166.8,73,5400,obligatory_school,catholic,2,7,5,980,3,0,0,74,5,45,no,no
3095,male,29,173,91.6,4600,apprenticeship,evangelical-reformed,4,7,7,390,48,0,7,101,2,110,no,yes
3096,male,52,191.1,86.3,9400,SEK_III,confessionless,3,7,4,660,50,0,5,118,3,83,no,yes
3097,male,31,188.4,NA,7100,SEK_III,catholic,3,6,8,740,0,9,3,101,2,36,no,yes
3098,male,31,187.3,103.8,4400,SEK_III,catholic,2,7,7,960,0,5,0,90,6,71,no,no
3099,female,55,167.5,58.8,9100,apprenticeship,evangelical-reformed,1,8,7,1310,25,0,0,126,3,79,no,no
3100,male,20,175.1,85.5,3900,SEK_III,catholic,2,7,4,470,26,4,8,102,4,95,no,yes
3101,male,67,181.7,88.8,9900,SEK_III,catholic,2,9,3,1290,47,6,5,116,2,55,no,yes
3102,female,25,162.1,65.7,3e3,SEK_II,NA,1,7,4,550,0,5,2,104,5,36,no,no
3103,male,44,176.2,92.3,8200,apprenticeship,catholic,1,6,4,660,24,4,6,107,7,80,no,yes
3104,female,40,164.3,65.2,6100,apprenticeship,catholic,2,7,6,1120,10,1,6,68,6,18,no,no
3105,female,41,171.7,70.9,NA,apprenticeship,NA,0,7,5,NA,16,0,2,97,7,83,no,yes
3106,male,33,185.6,NA,7400,obligatory_school,evangelical-reformed,1,7,7,890,58,0,1,79,2,67,no,yes
3107,male,31,181.2,95.3,6300,obligatory_school,catholic,0,5,5,270,44,0,6,82,4,69,no,yes
3108,female,37,159.4,54.3,NA,SEK_II,catholic,1,7,2,NA,0,6,3,112,6,66,no,yes
3109,male,41,166,78.9,NA,SEK_III,NA,2,7,4,NA,31,0,6,102,1,74,no,no
3110,female,31,170.1,61.4,4900,obligatory_school,NA,2,8,6,950,0,0,6,93,4,83,no,no
3111,female,50,169.8,72.6,8300,SEK_III,evangelical-reformed,2,6,6,950,21,8,2,90,6,89,no,yes
3112,male,31,168.5,90.1,6200,apprenticeship,catholic,4,7,4,770,42,0,7,105,2,45,no,yes
3113,male,22,187.5,90.2,NA,apprenticeship,evangelical-reformed,1,8,8,NA,45,0,6,93,4,44,no,no
3114,male,35,177.5,78.3,6900,SEK_III,confessionless,2,7,2,850,18,0,1,83,4,108,no,yes
3115,male,88,170.8,NA,13700,SEK_III,evangelical-reformed,0,8,1,1570,32,2,5,84,7,77,no,yes
3116,female,65,162.3,58.4,12800,obligatory_school,catholic,2,8,5,1560,23,7,10,83,4,79,no,yes
3117,female,77,175.7,74,11800,SEK_III,evangelical-reformed,3,7,7,1410,0,0,6,71,2,72,no,no
3118,male,45,176.7,105.6,NA,obligatory_school,evangelical-reformed,3,7,6,NA,42,0,5,87,4,61,no,yes
3119,female,31,148.8,63.7,4600,SEK_III,catholic,2,7,8,440,29,1,9,94,6,62,yes,no
3120,male,46,171,112.4,7700,SEK_III,confessionless,1,6,5,1010,28,5,0,114,2,15,no,yes
3121,female,32,170.3,52.9,3400,SEK_II,catholic,2,7,5,370,28,0,2,101,6,63,no,yes
3122,female,41,168.3,68.2,9100,SEK_III,evangelical-reformed,2,5,5,1090,34,0,2,69,4,70,no,yes
3123,female,44,175.2,74.3,7700,obligatory_school,catholic,1,7,8,1040,27,0,4,59,2,58,no,yes
3124,male,31,175.4,83.9,5200,SEK_III,confessionless,1,6,6,550,24,0,4,65,2,50,no,yes
3125,male,40,182.6,88.1,6300,apprenticeship,catholic,2,7,6,110,53,0,6,98,5,106,no,yes
3126,female,83,173.3,63.2,14200,SEK_III,catholic,1,8,5,1580,24,1,4,89,6,44,no,yes
3127,female,50,174.8,72.3,6900,SEK_III,catholic,3,8,4,880,25,0,1,142,4,57,no,yes
3128,female,48,161.1,70.5,9700,SEK_III,catholic,0,5,2,1060,18,0,2,87,4,70,no,no
3129,male,19,191.4,98.3,3900,SEK_III,catholic,3,7,6,310,62,0,5,66,5,66,no,yes
3130,female,46,163.6,70.9,10500,SEK_III,catholic,2,7,7,1290,14,0,2,88,5,72,no,yes
3131,male,74,176.2,102.7,NA,SEK_III,evangelical-reformed,1,5,3,NA,25,7,6,86,3,71,no,no
3132,female,72,180.2,56.9,NA,apprenticeship,evangelical-reformed,2,7,8,NA,17,6,7,77,3,72,no,no
3133,male,31,187.2,65.6,7e3,SEK_III,catholic,1,6,7,680,35,0,2,84,2,51,no,no
3134,male,42,180.7,68.9,8300,obligatory_school,NA,3,8,2,250,82,0,3,68,3,106,no,yes
3135,female,27,159.8,NA,NA,SEK_III,catholic,1,9,6,NA,16,0,4,95,6,31,no,yes
3136,female,31,160.8,71,6700,SEK_III,NA,2,5,4,1030,0,4,1,73,4,65,no,no
3137,female,37,164.7,69.4,4900,apprenticeship,catholic,1,7,7,900,0,0,1,83,5,12,no,no
3138,male,41,185,NA,7900,apprenticeship,evangelical-reformed,3,7,5,760,0,0,0,88,5,64,no,yes
3139,male,58,172.2,85.4,9100,SEK_III,evangelical-reformed,2,9,4,1100,29,5,1,58,2,93,no,yes
3140,female,27,176.8,68.5,NA,apprenticeship,catholic,2,6,5,NA,35,8,5,113,6,58,no,no
3141,female,54,160.5,65.9,10200,SEK_III,confessionless,1,5,5,700,40,0,8,81,8,67,no,yes
3142,female,47,152.7,65.1,8900,apprenticeship,catholic,0,7,8,1480,0,1,4,105,3,91,no,yes
3143,female,29,135.2,75.7,5e3,obligatory_school,confessionless,1,9,5,790,13,0,0,89,1,47,no,no
3144,male,31,185.3,77.8,NA,apprenticeship,catholic,2,7,6,NA,57,4,9,129,7,61,no,yes
3145,male,37,179.4,100,5300,apprenticeship,confessionless,4,7,6,570,49,0,3,95,4,34,no,yes
3146,female,19,151.8,65.8,5200,SEK_III,catholic,2,6,6,790,26,0,3,72,8,50,no,no
3147,female,31,175.4,66.2,NA,SEK_III,confessionless,2,7,6,NA,36,0,5,71,6,39,no,no
3148,male,52,177.4,68.2,8700,apprenticeship,catholic,2,9,3,1520,0,1,0,62,7,56,no,yes
3149,male,36,165.1,NA,3e3,SEK_III,confessionless,4,7,8,300,48,5,6,100,3,49,no,yes
3150,female,49,171.6,NA,7900,SEK_III,evangelical-reformed,1,7,7,660,34,2,5,84,5,55,no,no
3151,female,57,165.6,80.1,8100,SEK_III,evangelical-reformed,2,6,6,940,13,0,6,104,7,39,no,yes
3152,female,32,165.6,54.7,7100,SEK_III,catholic,1,6,6,1050,17,0,8,86,3,48,no,no
3153,female,42,176.1,62.1,7800,obligatory_school,confessionless,1,5,5,1110,34,0,8,64,3,92,no,no
3154,female,82,170.6,NA,10600,apprenticeship,catholic,5,7,5,1310,0,0,1,62,2,80,no,yes
3155,male,56,162.6,102.7,8800,SEK_III,confessionless,2,7,3,1390,0,0,8,82,1,75,no,yes
3156,male,36,199.9,95,6200,obligatory_school,catholic,1,7,8,500,61,0,1,122,0,78,no,yes
3157,male,43,155.8,93.4,8700,SEK_III,catholic,1,5,7,1130,26,0,0,107,3,76,no,yes
3158,female,50,162,63.2,7700,SEK_III,NA,2,7,6,720,20,2,6,96,5,36,no,yes
3159,male,27,154.9,80.2,NA,SEK_III,confessionless,2,7,3,NA,47,8,1,69,4,28,no,yes
3160,female,27,165,NA,3100,SEK_III,confessionless,3,7,3,490,30,5,4,96,6,37,no,yes
3161,female,18,177,NA,1900,apprenticeship,catholic,3,5,6,640,0,0,0,107,3,71,no,yes
3162,male,56,180.2,75.2,NA,SEK_III,catholic,5,7,4,NA,49,2,8,74,3,77,no,yes
3163,female,35,169.8,60.2,NA,apprenticeship,muslim,1,6,9,NA,22,0,7,96,5,46,no,no
3164,male,32,167.1,NA,4800,apprenticeship,evangelical-reformed,2,7,6,80,73,0,8,67,3,121,no,yes
3165,male,49,157.1,71.1,7100,apprenticeship,catholic,1,6,5,810,37,0,0,87,5,56,no,yes
3166,female,54,176.6,NA,10200,apprenticeship,evangelical-reformed,3,5,7,510,29,2,2,131,3,50,no,yes
3167,male,29,186.8,73.4,6200,apprenticeship,catholic,0,6,3,700,22,5,7,74,2,81,no,no
3168,male,31,179,91,6500,apprenticeship,confessionless,1,5,7,390,31,0,7,68,3,111,no,no
