college_name,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F_Undergrad,P_Undergrad,Outstate,Room_Board,Books,Personal,PhD,Terminal,S_F_Ratio,perc_alumni,Expend,Grad_Rate
Southern California College,Yes,385,340,193,18,38,784,127,9520,4124,630,1818,63,65,18.6,11,8219,43
Southern Methodist University,Yes,4301,3455,1166,41,69,4892,387,12772,5078,576,1802,74,88,13.5,17,12726,72
Southwest Missouri State University,No,6118,5254,3204,15,37,13131,3374,4740,2590,500,1360,70,75,19.9,11,4632,56
Southwest State University,No,1047,938,511,13,33,2091,546,4285,2750,600,1800,58,75,16.5,31,6591,51
Southwestern Adventist College,Yes,321,318,172,11,27,620,280,7536,3736,430,1651,44,77,13,12,5309,36
Southwestern College,Yes,213,155,75,28,66,504,147,7200,3532,550,1500,56,56,11.8,12,7818,52
Spalding University,Yes,283,201,97,10,45,589,263,8400,2800,600,900,50,56,10.6,40,6860,89
Spring Arbor College,Yes,372,362,181,15,32,1501,353,8600,3550,385,665,48,48,15.4,9,10938,49
St. John Fisher College,Yes,1368,1064,354,19,51,1687,677,10570,5600,400,800,86,81,14.5,29,7908,66
St. Lawrence University,Yes,2753,1820,505,31,56,1801,45,18720,5730,650,825,90,94,11.5,38,14980,85
St. Mary's College of California,Yes,2643,1611,465,36,80,2615,248,13332,6354,630,1584,88,89,16.1,17,9619,78
St. Mary's University of San Antonio,Yes,1243,1020,414,33,60,2149,418,8678,3858,700,1736,82,83,16.2,7,7651,72
St. Norbert College,Yes,1334,1243,568,30,56,1946,95,12140,4450,425,1100,74,78,15.1,36,8595,88
St. Paul's College,Yes,651,581,243,8,17,617,34,5000,3650,600,600,45,45,14,8,8426,45
St. Thomas Aquinas College,Yes,861,609,215,10,27,1117,815,8650,5700,500,1750,69,73,16.1,13,6534,67
Stetson University,Yes,1557,1227,489,37,69,1964,81,12315,4565,600,1365,85,90,12.5,24,10307,73
Stevens Institute of Technology,Yes,1768,1249,380,51,93,1263,11,16900,5680,450,750,89,89,19,33,12837,79
Stonehill College,Yes,3646,2300,585,25,69,2022,926,12170,6172,480,800,79,79,13,30,7495,97
SUNY at Albany,No,13528,9198,1843,16,61,10168,1231,6550,4355,700,1560,93,96,17.4,16,9075,74
SUNY at Binghamton,No,14463,6166,1757,60,94,8544,671,6550,4598,700,1000,83,100,18,15,8055,80
SUNY College  at Brockport,No,7294,3564,904,7,34,5758,1363,6550,4460,500,705,79,83,19,14,6632,49
SUNY College  at Oswego,No,8000,4556,1464,17,70,6943,869,6550,4810,500,1500,69,85,22,21,5280,63
SUNY College at Cortland,No,7888,3519,1036,6,40,5011,346,6550,4680,630,1274,82,85,17.8,17,5563,53
SUNY College at Fredonia,No,4877,2798,814,13,48,4123,298,6550,4420,620,1481,82,90,16.3,10,6442,66
Talladega College,Yes,4414,1500,335,30,60,908,119,5666,2964,1000,1400,56,58,15.5,7,5970,46
Taylor University,Yes,1769,1092,437,41,80,1757,81,10965,4000,450,1250,60,61,14.2,32,8294,98
Texas A&M University at Galveston,No,529,481,243,22,47,1206,134,4860,3122,600,650,103,88,17.4,16,6415,43
Texas Christian University,Yes,4095,3079,1195,33,64,5064,660,8490,3320,650,2400,81,93,14.8,23,9158,64
Texas Lutheran College,Yes,497,423,215,27,57,895,429,7850,3410,490,1700,54,58,13.8,24,7002,50
Texas Southern University,No,4345,3245,2604,15,85,5584,3101,7860,3360,600,1700,65,75,18.2,21,3605,10
Tiffin University,Yes,845,734,254,5,21,662,351,7600,3800,600,1200,59,74,19,40,5096,39
Transylvania University,Yes,759,729,244,57,81,867,51,10900,4450,500,1000,81,91,12.1,41,10219,70
Trenton State College,No,5042,2312,944,55,94,5167,902,5391,5411,700,1000,81,87,14.4,6,8504,81
Tusculum College,Yes,626,372,145,12,34,983,40,7700,3400,450,800,70,70,21.9,28,4933,52
Union College KY,Yes,484,384,177,9,45,634,78,7800,2950,500,600,60,88,14.1,9,6864,64
Univ. of Wisconsin at OshKosh,No,4800,2900,1515,14,48,7764,1472,6874,2394,518,1890,73,78,19.2,14,5901,56
University of Alabama at Birmingham,No,1797,1260,938,24,35,6960,4698,4440,5175,750,2200,96,96,6.7,16,16352,33
University of Central Florida,No,6986,2959,1918,25,60,12330,7152,6618,4234,700,1600,80,98,22.2,9,6742,46
University of Chicago,Yes,6348,2999,922,68,94,3340,39,18930,6380,500,1254,99,99,5.3,36,36854,90
University of Cincinnati,No,6855,5553,2408,26,57,11036,2011,8907,4697,556,1851,89,95,10.8,6,13889,54
University of Connecticut at Storrs,No,9735,7187,2064,23,63,12478,1660,11656,5072,700,2300,89,95,16,16,10178,71
University of Dallas,Yes,681,588,246,44,74,1058,73,10760,6230,500,1200,85,93,13.4,26,8731,63
University of Denver,Yes,2974,2001,580,29,60,2666,554,15192,4695,400,1350,84,91,15.9,21,11762,67
University of Detroit Mercy,Yes,927,731,415,24,50,2149,2217,11130,3996,600,2166,72,79,13.5,14,10891,51
University of Dubuque,Yes,576,558,137,11,39,662,131,10430,3620,400,1500,85,98,16.5,18,8767,45
University of Florida,No,12445,8836,3623,54,85,24470,3286,7090,4180,630,1530,88,97,13.4,20,14737,66
University of Hawaii at Manoa,No,3580,2603,1627,36,69,11028,2411,4460,3038,687,1281,85,87,11.8,6,12833,54
University of Illinois - Urbana,No,14939,11652,5705,52,88,25422,911,7560,4574,500,1982,87,90,17.4,13,8559,81
University of Indianapolis,Yes,1487,1276,388,26,51,1417,1646,11120,4080,525,1405,55,56,11.1,23,6735,69
University of Kansas,No,8579,5561,3681,25,50,17880,1673,6994,3384,700,2681,88,94,13.7,17,9657,57
University of Louisville,No,4777,3057,1823,16,33,9844,6198,6540,3600,530,2440,84,92,11.1,24,10207,31
University of Maine at Farmington,No,1208,803,438,20,48,1906,344,6810,3970,450,1647,67,75,15.9,26,5712,59
University of Maine at Presque Isle,No,461,381,235,10,40,974,503,6600,3630,400,1675,67,67,15.2,11,6408,35
University of Maryland at Baltimore County,No,4269,2594,985,27,57,6476,2592,8594,4408,494,2768,82,88,18.4,6,7618,55
University of Massachusetts at Amherst,No,14438,12414,3816,12,39,16282,1940,8566,3897,500,1400,88,92,16.7,15,10276,68
University of Miami,Yes,7122,5386,1643,42,69,7760,876,16500,6526,630,1985,82,94,5.9,17,17500,59
University of Michigan at Ann Arbor,No,19152,12940,4893,66,92,22045,1339,15732,4659,476,1600,90,98,11.5,26,14847,87
University of Minnesota at Duluth,No,4192,3126,1656,15,45,5887,1254,8828,3474,753,2610,79,91,19,11,6393,53
University of Minnesota at Morris,No,1458,874,588,56,86,1846,154,9843,3180,600,1500,74,78,14.6,16,6716,51
University of Minnesota Twin Cities,No,11054,6397,3524,26,55,16502,21836,8949,3744,714,2910,88,90,12.2,37,16122,45
University of Missouri at Rolla,No,1877,1826,823,49,77,3926,561,9057,3600,700,1435,88,88,14.4,23,9699,49
University of Missouri at Saint Louis,No,1618,1141,479,18,54,4793,4552,7246,3964,500,4288,71,73,13.4,15,6433,48
University of Montevallo,No,1351,892,570,18,78,2385,331,4440,3030,300,600,72,72,18.9,8,5883,51
University of Nebraska at Lincoln,No,6277,6003,3526,33,63,16454,3171,5595,3145,500,2070,86,92,15.1,48,6813,53
University of New Hampshire,No,9750,7640,2529,24,62,10358,1338,11180,3862,650,2450,89,87,17.5,16,7855,75
University of North Carolina at Chapel Hill,No,14596,5985,3331,75,92,14609,1100,8400,4200,550,1200,88,93,8.9,23,15893,83
University of North Carolina at Charlotte,No,5803,4441,1730,19,62,10099,3255,7248,3109,600,1900,79,91,16.8,7,6227,62
University of North Carolina at Greensboro,No,5191,4134,1500,15,44,7532,1847,8677,3505,600,1300,75,94,15.5,17,7392,53
University of North Carolina at Wilmington,No,6071,3856,1449,15,67,6635,1145,7558,3680,500,1500,82,85,19.1,15,6005,55
University of North Florida,No,1800,1253,560,44,85,3876,3588,6634,4360,600,2604,82,85,17.8,14,6104,47
University of North Texas,No,4418,2737,2049,23,51,14047,5134,4104,3579,450,1700,86,94,22.6,6,5657,35
University of Northern Colorado,No,5530,4007,1697,12,37,8463,1498,7731,4128,540,2286,75,75,21.5,8,6309,40
University of Northern Iowa,No,4144,3379,1853,18,52,10135,1448,6197,2930,595,2380,78,82,16.3,26,6333,77
University of Pittsburgh-Main Campus,No,8586,6383,2503,25,59,13138,4289,10786,4560,400,900,93,93,7.8,10,13789,66
University of Portland,Yes,1758,1485,419,27,58,2041,174,12040,4100,600,1100,92,96,13.2,17,9060,72
University of Rhode Island,No,9643,7751,1968,12,40,8894,2456,10330,5558,500,1250,84,89,16.6,7,9158,63
University of Rochester,Yes,8766,5498,1243,56,75,5071,438,17840,6582,500,882,93,99,5.9,23,26037,80
University of San Diego,Yes,3934,2735,886,40,70,3698,217,13600,5940,630,1820,93,96,15.6,13,10813,66
University of Sci. and Arts of Oklahoma,No,285,280,208,21,43,1140,473,3687,1920,600,1800,67,77,23.6,3,3864,43
University of South Carolina at Aiken,No,848,560,377,14,24,1855,1412,5800,3066,500,1500,62,62,14.8,3,5035,48
University of South Carolina at Columbia,No,7693,5815,2328,30,66,12594,3661,8074,3522,495,2941,84,88,16.9,18,8246,63
University of Southern Colorado,No,1401,1239,605,10,34,3716,675,7100,4380,540,2948,63,88,19.4,0,5389,36
University of St. Thomas MN,Yes,2057,1807,828,26,53,4106,982,11712,4037,500,800,80,80,13.8,13,8546,89
University of Tennessee at Knoxville,No,7473,5372,3013,27,53,15749,3237,5764,3262,750,3300,86,92,16.5,22,8612,53
University of Texas at Arlington,No,3281,2559,1448,19,43,10975,8431,4422,2780,500,2850,73,73,21,4,4696,29
University of the Arts,Yes,974,704,290,5,22,1145,39,12520,3860,1300,700,16,59,7.5,9,11641,57
University of Tulsa,Yes,1712,1557,696,41,68,2936,433,11750,4160,1200,2350,94,96,11.5,10,11743,47
University of Utah,No,5095,4491,2400,27,53,13894,8374,6857,3975,858,3093,89,93,12.8,9,9275,37
University of Vermont,No,7663,6008,1735,18,51,7353,1674,15516,4928,500,990,87,90,9.9,10,12646,79
University of Virginia,No,15849,5384,2678,74,95,11278,114,12212,3792,500,1000,90,92,9.5,22,13597,95
University of Washington,No,12749,7025,3343,40,81,20356,4582,8199,4218,708,2172,96,94,9,10,16527,65
Upper Iowa University,Yes,663,452,192,10,35,1481,1160,8840,3060,500,1000,69,75,17.4,19,3733,78
Ursinus College,Yes,1399,1026,308,44,77,1131,17,14900,5160,500,800,82,85,11.6,40,12082,79
Valley City State University,No,368,344,212,5,27,863,189,4286,2570,600,2000,39,41,14.9,25,4958,40
Vanderbilt University,Yes,7791,4690,1499,71,92,5500,90,17865,6525,630,952,93,98,5.8,26,23850,83
Vassar College,Yes,3550,1877,653,53,87,2164,77,18920,5950,600,800,90,98,9.7,39,17089,90
Virginia Tech,No,15712,11719,4277,29,53,18511,604,10260,3176,740,2200,85,89,13.8,20,8944,73
Wake Forest University,Yes,5661,2392,903,75,88,3499,172,13850,4360,500,1250,95,97,4.3,37,41766,89
Walsh University,Yes,1092,890,477,27,92,847,497,8670,4180,500,1450,42,58,11.3,33,5738,68
Warren Wilson College,Yes,440,311,112,25,49,466,7,10000,3052,400,1100,65,75,11.4,20,9430,63
Wartburg College,Yes,1231,1074,345,34,66,1295,105,11600,3610,400,850,66,91,12.4,37,7735,67
Washington College,Yes,1209,942,214,31,60,822,46,15276,5318,500,300,79,86,11.2,37,10830,65
Washington University,Yes,7654,5259,1254,62,93,4879,1274,18350,5775,768,1512,91,98,3.9,31,45702,90
Wayne State College,No,1373,1373,724,6,21,2754,474,2700,2660,540,1660,60,68,20.3,29,4550,52
Waynesburg College,Yes,1190,978,324,12,30,1280,61,8840,3620,500,1200,57,58,16.2,26,6563,63
Webster University,Yes,665,462,226,17,44,1739,1550,9160,4340,500,500,68,68,20.6,14,6951,48
Wellesley College,Yes,2895,1249,579,80,96,2195,156,18345,5995,500,700,94,98,10.6,51,21409,91
Wentworth Institute of Technology,Yes,1480,1257,452,6,25,2961,572,9850,6050,850,920,10,68,15.4,8,17858,64
Wesleyan University,Yes,4772,1973,712,60,86,2714,27,19130,5600,1400,1400,90,94,12.1,39,16262,92
West Chester University of Penn.,No,6502,3539,1372,11,51,7484,1904,7844,4108,400,2000,76,79,15.3,16,6773,52
West Liberty State College,No,1164,1062,478,12,25,2138,227,4470,2890,600,1210,33,33,16.3,10,4249,60
Western New England College,Yes,1650,1471,409,7,21,1803,1116,8994,5500,498,2065,74,97,15.4,15,8409,59
Western Washington University,No,5548,3563,1549,30,71,8909,506,8124,4144,639,2385,83,89,22.7,10,7203,61
Westfield State College,No,3100,2150,825,3,20,3234,941,5542,3788,500,1300,75,79,15.7,20,4222,65
Westmont College,No,950,713,351,42,72,1276,9,14320,5304,490,1410,77,77,14.9,17,8837,87
Wheaton College IL,Yes,1432,920,548,56,84,2200,56,11480,4200,530,1400,81,83,12.7,40,11916,85
Wheeling Jesuit College,Yes,903,755,213,15,49,971,305,10500,4545,600,600,66,71,14.1,27,7494,72
Whittier College,Yes,1681,1069,344,35,63,1235,30,16249,5699,500,1998,84,92,13.6,29,11778,52
Widener University,Yes,2139,1492,502,24,64,2186,2171,12350,5370,500,1350,88,86,12.6,19,9603,63
William Jewell College,Yes,663,547,315,32,67,1279,75,10060,2970,500,2600,74,80,11.2,19,7885,59
Williams College,Yes,4186,1245,526,81,96,1988,29,19629,5790,500,1200,94,99,9,64,22014,99
Winthrop University,No,2320,1805,769,24,61,3395,670,6400,3392,580,2150,71,80,12.8,26,6729,59
Wisconsin Lutheran College,Yes,152,128,75,17,41,282,22,9100,3700,500,1400,48,48,8.5,26,8960,50
Worcester Polytechnic Institute,Yes,2768,2314,682,49,86,2802,86,15884,5370,530,730,92,94,15.2,34,10774,82
Worcester State College,No,2197,1515,543,4,26,3089,2029,6797,3900,500,1200,60,60,21,14,4469,40
Xavier University,Yes,1959,1805,695,24,47,2849,1107,11520,4960,600,1250,73,75,13.3,31,9189,83
Xavier University of Louisiana,Yes,2097,1915,695,34,61,2793,166,6900,4200,617,781,67,75,14.4,20,8323,49
Yale University,Yes,10705,2453,1317,95,99,5217,83,19840,6510,630,2115,96,96,5.8,49,40386,99
York College of Pennsylvania,Yes,2989,1855,691,28,63,2988,1726,4990,3560,500,1250,75,75,18.1,28,4509,99
