murders,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,LemasPctOfficDrugUn
yes,41832,2.57,0.92,97.32,0.43,3.8,12.82,26.11,11.91,13.48,41832,100,30638,74.92,0.34,39.64,32.94,7.2,23.56,36016,13338,13338,12804,12085,6830,12954,3557,8.53,10.39,32.44,6.77,7.78,57.41,26.53,17.79,22.69,14.58,10.39,28.63,12.81,11.67,3.1,74.68,72.53,83.69,81.52,54.94,64.36,496,1.47,1659,2.89,3.68,6.15,9.76,0.11,0.15,0.24,0.39,92.33,0.68,4.37,3.12,2.57,2.68,2.16,81.89,2.18,41.67,3,506,96.98,78.45,1.19,23.52,1953,1.94,0.2,36800,44500,54800,18000,302,370,430,128,432,23.8,16.3,13.8,0,0,3.97,74.22,64.78,93.89,96.19,6.1,6903,1.21,0
no,13131,2.56,0.11,95.49,0.27,0.66,13.81,24.03,10.78,12.99,0,0,22407,75.76,6.53,46.16,29.26,7.36,11.14,29144,11585,11852,0,4184,26428,2568,1845,14.46,12.58,23.6,17.45,5.88,61.26,3.35,26.95,10.89,23.48,7.83,27.65,10.42,9.2,3.13,77.17,77.16,82.32,81.83,65.27,73.19,170,1.4,225,1.33,13.33,13.33,20,0.02,0.23,0.23,0.34,95.37,0.5,4.04,2.71,2.49,2.65,2.2,68.26,1.75,48.31,3,950,84.38,64.06,4.74,60.63,1967,5.44,0.33,30400,44700,62600,32200,158,218,281,123,263,20.8,19.9,12.8,0,0,1.71,71.81,48.97,83.51,91.84,7.2,1824.8,0,0
yes,21160,2.79,11.1,83.79,4.57,2.83,11.38,23.62,10.91,12.65,21160,100,58194,85.08,1.75,64.95,24.94,2.35,16.17,64920,27093,28517,18729,40576,21945,17816,313,1.49,4.57,12.02,41.42,3.75,67.53,14.49,28.02,6.01,42.09,5,27.54,7.81,6.47,3.13,86.47,83.94,96.9,86.91,55.65,65.23,96,0.67,2311,9.91,14.28,21.46,33.58,1.08,1.56,2.34,3.67,85.29,1.53,3.96,3.21,2.77,2.91,2.13,85.73,0.92,25.64,3,198,97.46,81.45,2.53,46.46,1957,0.41,0.28,168700,206900,284900,116200,618,702,813,195,782,23.5,21.1,15,0,0,10.92,58.63,70.79,81.71,90.89,9.4,2250.1,7.6,0
no,18820,2.56,5.19,86.08,3.3,12.01,10.97,26.47,10.85,11.49,18820,100,41875,84.51,0.72,53.33,23.02,2.99,14.09,50601,19031,19755,17052,13939,17352,11168,685,3.66,7.7,16.81,28.05,3.76,70.99,19.75,24.23,12.23,30.53,8.25,31.89,11.01,9.68,3.09,80.07,79.12,93.11,77.88,62.82,71.01,247,2.04,2708,10.27,17.91,34.08,42.84,1.48,2.58,4.9,6.16,78.5,3.75,5.13,3.57,2.54,2.77,2.22,64.05,3.96,52.08,2,443,94.31,58.79,0.23,41.99,1951,1.61,0.23,143400,164000,186600,43200,522,615,705,183,678,25.7,23.9,16.3,9,0,14.39,59.87,55.52,67.99,89.49,2.9,6512.1,5.04,0
no,13443,3.31,0.29,95.4,0.55,1.76,23.63,38.06,23.28,7.8,0,0,23415,81.87,3.24,40.67,22.81,3.76,15.86,28758,8960,9152,1897,4331,8124,7282,2243,17.5,3.15,11.25,26.79,5.83,61.96,8.86,27.32,12.12,23.65,5.61,33.5,7.5,6.59,3.58,84,82.99,91.29,84.07,52.24,65.28,114,1.14,71,8.45,18.31,18.31,19.72,0.04,0.1,0.1,0.1,93.99,0.04,14.7,11.67,3.15,3.31,2.88,66.54,5.98,37.1,3,294,93.25,63.39,1.02,28.23,1972,5.86,0,54200,68200,87600,33400,202,269,338,136,341,28.1,20.2,12.4,6,0,0.53,72.05,48.95,64.01,84.28,11.6,1160.5,0.16,0
no,16370,2.53,7.67,81.28,0.41,1.25,11.75,23.49,10.69,17.57,0,0,19906,64.95,1.72,31.92,38.77,10.84,21.58,24301,10560,11495,5635,6991,2985,6444,2995,19.95,13.4,34.63,11.75,9.04,45.81,13.17,23.96,11.81,25.25,13.77,25.62,15.2,14.52,2.89,68.46,63.98,86.03,67.75,58.47,67.95,309,2.11,173,8.67,11.56,11.56,18.5,0.09,0.12,0.12,0.2,96.99,0.52,2.9,1.92,2.3,2.28,2.33,66.91,1.81,45.65,3,782,89.22,67.39,2.69,53.45,1960,10.29,0.06,23300,36500,53900,30600,122,206,285,163,296,24.6,21,12.9,20,0,1.06,71.45,55.52,78.05,90.67,12.6,1303.3,0.43,0
no,11865,2.67,0.41,98,1.34,0.65,13.36,21.94,11.05,10.43,7825,65.95,50896,80.66,0.25,60.52,24.62,4.93,17.54,61843,26163,26189,10685,50000,29726,13696,554,4.72,2.78,10.16,44.18,4.07,65.12,17.46,26.79,5.79,41.33,7.23,27.19,8.85,8.08,3.17,84.23,84.9,85.32,89.92,42.05,58.63,113,1.32,532,5.45,11.28,13.72,20.11,0.24,0.51,0.62,0.9,93.1,0.57,3.36,2.49,2.64,2.93,1.82,82.11,0.61,32.43,3,214,95.41,74.02,2.8,38.32,1965,0.81,0.49,157200,227900,322700,165500,319,486,614,295,527,28.2,22.7,13.2,0,0,4.48,54.74,56.73,72.89,83.25,17.1,695.4,1.76,0
no,11500,3.34,7.17,90.34,1.12,4.49,15.07,26.62,13.39,10.69,0,0,46566,87.77,2.57,49.26,20.66,3.74,14.21,54804,16531,16993,8973,7664,34639,8358,470,4.71,9.48,22.42,24.07,4.9,58.57,12.31,32.19,8.58,33.33,8.12,35.81,8.46,8.29,3.33,84.14,79.97,95.5,85.47,64.15,73.88,176,2.12,696,9.48,12.64,15.95,25.14,0.57,0.77,0.97,1.52,89.65,0.88,6.34,4.99,2.9,3.1,2.42,75.83,2,34.72,3,255,93.11,70.96,2.35,53.73,1962,1.33,0.62,126300,163500,209600,83300,453,585,681,228,651,24.9,22.5,13.8,10,0,6.04,75.48,59.11,79.21,92.25,45.6,252.4,2.54,0
no,41042,2.65,2.78,94.3,2.06,1.44,14.01,26.19,12.25,7.9,41042,100,39045,84.42,0.7,52.86,19.09,3.03,14.1,44381,17602,17638,15683,15589,19296,10128,1720,4.21,2.73,11.36,31.3,3.99,71.18,27.38,24.99,12.65,32.18,8.11,26.43,11.89,10.07,3.12,81.33,81.27,92.13,82.45,58.06,69.66,313,1.05,1307,12.93,15.84,18.36,23.03,0.41,0.5,0.58,0.73,94.91,0.6,3.43,2.54,2.64,2.9,2.01,78.45,1.4,37.25,3,666,95.87,71.62,0.15,17.42,1968,1,0.05,54600,71800,97400,42800,348,395,460,112,434,22.6,17.3,12.4,0,0,3.18,69.54,52.2,82.09,90.79,33.4,1230.1,0.3,0
yes,332943,2.54,19.7,76.96,1.05,3.97,14.78,28.65,14.52,12.25,332943,100,24819,71.86,0.36,36.37,28.93,12.29,18.44,30980,11894,13077,7722,9450,12415,7817,62426,19.09,8.57,26.84,14.06,9.92,55.56,19.58,26.72,18.52,22.88,11.86,34.15,15.15,13.62,3.13,62.64,58.92,68.72,65.53,57.77,66.3,15969,6,9263,19.16,27.39,32.16,37.1,0.53,0.76,0.89,1.03,93.15,0.8,5.59,3.65,2.5,2.64,2.28,64.11,1.95,47.33,3,11242,92.09,60.65,13.37,48.67,1951,5.49,0.34,33800,48900,68500,34700,210,286,365,155,378,27.2,17,13.9,260,12,2.78,76.14,56.77,88,93.19,83.5,3988.5,3,4.39
yes,27617,2.64,2.57,95.21,0.46,2.09,14.71,27.14,12.74,10.32,27617,100,29961,74.4,0.18,39.41,27.82,11.9,22.58,35390,12940,13011,13183,10597,9792,10203,3929,14.28,7.56,27.32,6.68,12.1,53.67,35.29,15.91,29.28,16.72,11.54,27.38,14.36,13.02,3.09,68.26,67.02,71.87,74.06,55.28,62,483,2.03,502,7.77,8.57,10.36,12.15,0.14,0.16,0.19,0.22,95.7,0.59,4.23,3.18,2.64,2.73,2.38,78.48,2.29,44.04,3,393,96.37,76.08,2.54,41.48,1957,4.1,0.17,33300,44400,59800,26500,267,328,380,113,388,32.4,16.2,13.6,0,0,1.82,80.05,62.39,92.33,96.59,24.3,1135,0.1,0
yes,16410,2.51,48.72,50.57,0.46,0.66,14.56,24.55,11.96,16.84,0,0,16586,60.54,0.84,24.16,42.33,19.11,14.87,20839,9009,11864,5993,7300,12670,8104,4469,27.9,20.25,43.86,11.17,8.17,46.8,18.48,23.49,22.2,20.78,13,28.6,16.95,15.26,3.12,52.88,45.98,44.01,60.71,58.17,66.38,1170,7.32,117,0,11.97,28.21,56.41,0,0.09,0.2,0.4,97.48,0,6.44,4.2,2.46,2.42,2.51,58.15,4.7,45.33,3,971,87.09,59.03,2.47,62.92,1960,15.29,0.74,22700,36300,55900,33200,114,185,253,139,278,29.1,20.6,14.1,0,0,0.71,81.87,55.69,84.85,93.41,11.7,1400.2,0.11,0
no,12743,3.41,0.24,55.84,3.11,60.37,16.12,29.5,14.75,10.45,0,0,22032,73.44,1.42,27.11,29.37,23.93,12.07,24974,8354,10137,3973,8386,10103,5915,2827,22.58,34.36,50.72,8.98,14.95,52.83,8.25,20.32,15.91,15.63,5.95,30.23,10.5,8.21,3.69,72.43,67.29,75.81,81.02,48.17,58.49,424,3.93,2966,16.62,27.48,36.48,43.66,3.87,6.4,8.49,10.16,47.05,16.08,15.54,12.75,3.31,3.19,3.5,57.06,21.94,52.95,2,103,97.31,59.28,2.91,35.92,1967,6.86,1.07,53400,67500,86500,33100,216,296,369,153,376,30,23.2,11.9,0,0,23.28,54.7,47.28,78.97,90.63,2.8,4583.8,0,0
no,11886,2.57,0.39,87.04,3.87,15.3,16.12,35.49,18.9,9.93,11886,100,21183,77.04,0.43,30.03,26.27,9.85,16.74,23681,9631,10035,15000,4002,7044,6943,2446,20.7,8.54,26.28,13.24,7.12,63.96,17.96,16.94,20.05,16.57,13.58,30.6,16,14.83,3.17,62.31,61.02,69.36,66.5,60.47,65.88,242,2.57,930,18.92,30.65,49.35,62.47,1.48,2.4,3.86,4.89,85.66,3.43,7.92,5.29,2.56,2.81,2.4,44.3,7.67,67.16,2,342,93.12,40.5,3.8,16.96,1969,7.58,0.86,46700,58300,71300,24600,252,286,336,84,347,23.4,21.9,12.8,0,4,7.82,66.99,41.09,79.34,86.86,3.6,3346.3,3.72,0
no,19483,2.61,41.49,55.61,1.39,3.03,11.2,21.64,10.67,17.06,15811,81.15,47853,76.82,0.71,56.18,33.54,3,21.96,56541,22478,27946,15617,65200,12881,18107,781,4.13,7.21,18.6,31,4.72,64.69,12.88,27.36,9.86,35.36,7.31,30.3,11.33,9.49,3.02,74.91,69.26,86.84,73.54,79.15,83.09,666,4.32,2640,7.27,13.37,21.59,32.31,0.99,1.81,2.93,4.38,91.07,0.54,4.44,3.28,2.53,2.69,1.96,82.79,1.57,36.97,3,264,96.59,77.79,3.03,50.76,1963,0.28,0.09,131600,162100,197800,66200,326,613,755,429,673,28.7,22.7,13.3,0,0,13.55,51.24,59.13,91.47,92.87,27,722.9,5.62,0
no,14265,3.07,1.34,97.1,1.04,1.22,19.05,31.62,17.7,7.28,2371,16.62,43861,88.08,0.91,39.74,19.66,5.66,12.88,47349,16023,15926,19959,15120,22451,13562,718,5.5,5.02,16.58,22.12,5.01,69.99,24.11,26.64,12.66,27.89,7.83,30.86,9.9,8.96,3.21,79.9,79.31,89.25,85.26,55.98,67.87,126,1.39,535,8.41,9.72,11.03,13.27,0.32,0.36,0.41,0.5,94.15,0.34,4.18,3.28,2.81,2.94,2.38,80.71,1.31,46.64,3,211,95.65,77.2,0.95,52.61,1968,0.71,0.58,118600,143500,169000,50400,255,479,624,369,574,22.8,22.6,13.2,0,0,3.75,72.56,55.33,72.14,89.52,29.7,479.7,2.89,0
yes,27256,2.28,20.89,78.4,0.33,0.57,11.87,22.25,10.01,19.33,0,0,17196,61.9,0.36,33.74,41.14,12.47,19.07,23665,11918,13514,6143,5195,6393,4630,6305,23.81,14.51,30.99,14.56,7.51,48.48,11.34,26.07,14,23.19,12.9,24.56,16.26,14.81,2.86,58.21,55.02,63.91,61.85,52.83,61.97,1209,4.8,274,6.57,16.06,28.1,42.7,0.07,0.16,0.28,0.43,97.1,0.39,3.29,2.02,2.21,2.32,2.07,57.17,1.81,57.42,2,1195,90.91,54.38,3.18,47.95,1955,10.13,0.56,24500,37800,64800,40300,132,190,269,137,257,25.9,17,12.6,19,0,1.01,68.04,53.3,81.7,89.2,18.2,1498.2,0.69,0
yes,11139,2.6,24.27,72.26,0.14,5.28,13.39,23.8,11.39,18.06,0,0,23238,68.18,2.25,36.18,37.42,10.02,15.99,28312,11021,13320,4939,7474,7273,5711,2179,20.24,13.27,33.75,15.05,7.72,51.76,15.85,25.27,16.41,22.8,8.04,23.44,12,10.26,3.1,71.1,64.5,77.67,71.51,64.33,70.05,453,4.65,310,26.77,38.39,47.42,66.13,0.75,1.07,1.32,1.84,94.01,1.58,5.51,3.8,2.51,2.47,2.6,67.8,4.86,44.42,3,572,88.22,68.91,1.75,54.2,1962,13.14,1.38,28700,43700,65400,36700,143,228,298,155,315,26.3,18,14.2,0,0,2.78,81.43,58.04,85.75,96.63,11.3,985.4,0.17,0
yes,122899,3.84,0.12,70.83,0.38,93.87,19.93,33.12,16.79,7.32,122899,100,18395,79.18,1.17,18.24,22.73,16.71,7.95,19910,6981,7674,2922,5577,13361,6331,45126,37.29,36.26,51.16,11.63,11.24,51.36,5.4,23.07,14.83,21.99,6.18,32.64,10.95,8.73,4.16,75.51,67.71,84.14,75.33,48.23,52.73,3070,2.8,29945,14.07,21.62,29.66,39.74,3.43,5.27,7.23,9.68,8.15,21.64,21.34,18.23,3.78,3.95,3.54,61.58,26.43,53.73,2,1969,94.21,58.96,6.4,42.25,1972,12.42,2.11,33700,52500,75000,41300,161,245,339,178,315,27.6,22.6,12.8,4,0,24.37,67.12,60.11,86.08,91.7,34.1,3608.7,3.55,4.26
yes,24800,2.37,1.44,94.17,0.96,6.9,12.67,26.36,12.43,16.07,0,0,21619,70.61,0.46,37.2,33.74,10.12,19.34,26598,11203,11567,6876,11382,6316,4757,3588,14.61,11.62,36.72,8.15,4.84,60.18,29.91,22.08,27.92,15.06,12.01,32.28,15.02,13.64,2.97,62.65,60.01,63.67,71.81,63.88,73.48,794,3.87,583,22.47,24.53,27.62,32.59,0.53,0.58,0.65,0.77,89.96,2.27,3.94,2.5,2.34,2.51,2.15,55.98,1.69,47.79,3,528,95.2,52.09,3.79,38.07,1939,5.21,1.01,33900,45000,63900,30000,200,267,335,135,312,23.8,19,12.6,4,0,2.35,85.26,56.04,88.52,93.13,4.3,5712.2,1.16,0
yes,23330,2.94,7.36,88.58,2.67,3.69,17.84,34.05,18.86,6.76,14937,64.02,41944,87.6,0.57,36.52,18.29,3.11,12.87,45986,16302,16234,17942,15871,16840,12351,927,4.35,5.04,18.12,20.42,4.1,69.92,5.53,17.93,9.45,23.81,8.22,36.33,10.33,9.3,3.13,79.01,75.91,88.27,78.78,63.41,71.3,330,2.48,970,6.08,13.09,25.46,28.87,0.25,0.54,1.06,1.2,90.82,1,4.35,3.14,2.69,2.8,2.45,71.76,2.19,47.98,3,932,89.49,68.94,0.86,38.3,1982,1.68,0.42,86200,111300,142800,56600,548,619,675,127,727,24.3,23.1,12.8,0,0,4.16,62.31,40.26,66.89,88.65,93.6,249.1,1.66,0
no,26017,2.52,3.41,82.62,0.77,1.96,16.37,28.47,16.04,15.57,0,0,19002,67.47,0.99,33.62,35.61,11,17.28,25151,10301,11108,6826,5743,14059,6370,5199,21.21,11.58,30.55,13.97,9.12,50.99,14.59,26.07,15.44,26.37,11.32,26.71,13.83,12.71,2.99,70.1,65.93,75.58,69.96,59.58,66.32,416,1.93,281,16.01,20.28,24.91,31.32,0.17,0.22,0.27,0.34,95.97,0.31,4.34,2.89,2.39,2.41,2.34,64.93,2.74,51.69,2,1447,87.72,64.32,2.7,56.67,1959,11.38,0.56,27100,40200,59500,32400,152,236,300,148,322,28.3,19.5,13,8,9,1.08,70.57,49.52,76.38,91.42,43.3,601,0.1,0
no,27974,3.43,3.62,90.11,5.84,2.12,15.61,23.54,11.83,7.01,23549,84.18,70039,89.19,1.41,60.96,18.76,2.54,11.71,74375,25349,26055,10379,78000,24527,13434,753,2.77,2.56,9.5,43.92,3.89,64.55,11.31,28.52,5.2,44.4,3.41,28.46,4.69,4.05,3.45,93.06,90.79,95.93,92.46,37.42,59.75,361,2.02,2608,11.43,14.26,19.29,23.35,1.07,1.33,1.8,2.18,85.73,1.3,4.77,4.32,3.27,3.29,2.8,95.34,0.52,19.32,4,344,95.95,94.56,2.33,69.19,1979,0.45,0.27,195600,245200,318700,123100,613,823,1001,388,1001,30.6,24.6,15.1,98,0,9.32,37.48,65.12,73.73,83.32,31.7,882.6,13.08,0
yes,60536,2.67,0.67,89.1,1,20.36,19.66,34.21,21.15,9.64,60359,99.71,23462,78.96,1.67,39.17,22.71,7.57,11.84,30705,11461,12074,7642,5856,7764,6306,11044,19.46,11.86,23.42,25.08,5.67,62.52,14.58,27.47,14.39,25.88,9.55,35.98,12.5,11.09,3.09,72.39,68.92,74.4,73.49,62.25,71.54,1129,2.67,2852,20.02,34.29,43.48,53.33,0.94,1.62,2.05,2.51,85.45,3.06,5,3.36,2.5,2.69,2.29,57.84,3.76,47.95,3,1344,94.4,53.86,1.79,29.91,1970,5.96,0.24,56200,70400,91500,35300,237,314,396,159,354,27.4,21.8,12.4,107,0,4.71,50.46,38.95,69.03,84.29,29.4,2057.1,0.67,0
no,51288,2.68,2.27,94.8,2.28,1.03,13.49,31.33,13.81,3.49,51288,100,43620,93.55,1.18,50.59,9.25,2.91,7.86,50275,18523,18821,14698,17022,10334,11957,2142,4.2,1.48,5.49,34.29,3.06,80.8,16.54,19.49,9.29,30.72,7.63,30.22,11.91,9.83,3.14,79.93,80.41,87.33,78.75,70.4,76.02,530,1.74,1422,7.45,14.28,25.95,37.83,0.21,0.4,0.72,1.05,95.34,0.73,2.99,2.14,2.67,2.94,2.17,71.53,1.62,43.98,3,1117,94.48,64.94,0.54,13.61,1977,0.35,0.43,88900,108100,127700,38800,465,537,615,150,576,24.7,20.8,10.5,15,0,2.77,61.52,42.16,59.26,83.32,25.8,1989.9,2.11,0
yes,11304,2.43,2.13,97.31,0.24,0.8,12,23.99,11.3,17.24,11304,100,23999,66.01,0.06,41.89,39.68,7.56,25.16,29559,11483,11549,8619,10680,11364,7736,1358,12.06,9.78,29.14,12.54,7.86,52.83,22.72,25.68,16.37,20.71,8.52,27.08,12.32,10.58,3.01,76.32,73.57,91.58,74.1,53.62,60.53,74,0.78,308,1.62,4.22,4.22,5.84,0.04,0.12,0.12,0.16,92.27,0.48,3.59,2.45,2.43,2.59,2.11,71.66,1.31,42.98,3,198,95.91,67.23,1.52,34.85,1953,3.96,0.78,31700,43300,59200,27500,209,273,329,120,348,22.7,16,14.1,0,0,2.72,77.75,71.14,90.67,96.55,5,2265.9,0.37,0
no,30576,2.45,0.52,96.17,2.69,1.56,12.3,21.09,9.27,9.99,30444,100,51499,82.19,1.34,62.18,18.75,1.42,13.11,60949,27946,28151,28350,48927,20099,13350,1119,3.69,1.1,3.44,53.93,3.01,69.28,11.13,31.1,3.66,49.91,9.24,23.77,14.18,11.85,2.95,83.13,83.84,95.01,78.57,53.46,65.08,146,0.74,1899,17.01,26.22,31.86,36.33,1.06,1.63,1.98,2.26,93.22,0.38,2.33,1.6,2.43,2.69,1.89,74.65,0.7,36.77,3,623,95.25,67.36,1.12,12.84,1974,0.88,0.12,101900,142600,205100,103200,454,573,696,242,641,23.8,21.2,12.8,0,1,6.24,35.25,39.43,57.04,76.34,9.9,3094.7,3.1,0
yes,19279,2.5,2.95,88.86,6.05,3.46,14.58,26.91,13.49,13.32,19279,100,29426,73.95,0.4,46.22,27.91,5.84,24.72,34883,13233,13634,12932,11560,7844,9898,1492,7.91,3.29,11.75,24.08,6.18,59.56,7.34,23.49,8.79,29.19,10.33,25.28,14.7,12.7,3,74.37,73.48,83.52,80.14,62.76,71.33,274,1.96,1223,15.62,23.3,35,38.92,0.99,1.48,2.22,2.47,91.14,1.19,3.97,2.67,2.44,2.65,2.22,54.86,3.16,50.66,2,359,95.56,50.45,1.39,12.53,1974,1.88,0.24,60500,71700,88600,28100,327,400,511,184,473,25.9,20.8,12.3,0,0,6.34,41.67,39.2,64.94,80.08,10.5,1840.3,2.35,0
no,13229,2.75,5.84,92.34,1.65,0.54,11.56,20.64,9.68,14.32,13229,100,52780,79.63,0.33,64.97,27.86,3.25,19.02,59868,23280,23787,17064,7906,19397,17581,386,2.96,5.07,11.77,43.62,2,62.64,13.86,35.74,6.63,48.44,5.59,25.75,8.48,7.12,3.09,84.56,83.8,100,85.71,57.63,64.23,104,1.03,483,17.81,19.05,20.08,25.88,0.65,0.7,0.73,0.94,94.22,1.25,4.07,3.27,2.71,2.77,2.29,89.09,1,25.17,3,238,95.28,87.08,0.42,55.88,1957,0.64,0,117100,168900,219000,101900,411,568,675,264,665,24.5,22.7,15.4,0,0,3.65,72.37,60.2,86.96,91.93,4.9,2708.6,7.29,0
no,25925,2.51,4.6,92.63,1.72,2,11.14,31.18,13.86,10.56,25925,100,30591,81.43,0.27,48.5,22.76,4.68,18.47,34344,15557,16023,9962,13228,8918,10589,1659,6.68,3.63,11.2,26.55,5.12,69.93,14.9,21.93,9.61,31.3,10.7,34.38,14.26,12.53,2.99,75.93,75.06,82.78,76.76,67.76,75.1,286,1.69,1047,8.98,14.14,24.64,30.47,0.36,0.57,1,1.23,93.41,0.8,2.87,1.8,2.39,2.44,2.35,42.77,1.7,57.38,2,1040,90.85,41.88,2.5,44.33,1950,2.85,0.36,110300,137600,168500,58200,390,497,623,233,553,26.4,23.7,13.8,65,0,4.04,32.62,39.91,59.25,64.89,16.2,1602.6,0.99,0
yes,23302,4.17,7.95,82.42,1.36,19.55,14.06,30.74,14.58,4.44,23302,100,51594,88.74,2.55,38.24,17.3,5.92,12.75,52659,15142,16771,4590,6108,12843,9872,973,5.34,4.93,24.25,10.32,5.1,48.14,21.21,14.52,14.49,23.72,8.43,42.59,12.03,9.94,3.49,82.9,75.36,88.3,80.68,48.57,57.79,536,3.46,1672,6.76,16.87,18.66,33.19,0.48,1.21,1.34,2.38,84.6,2.25,10.56,8.94,3.27,3.29,3.19,82.83,6.06,22.51,3,193,96.66,82.4,3.63,26.42,1970,2.5,0.24,153000,203400,259300,106300,458,617,843,385,714,28.2,25.1,11.9,0,0,7.18,58.08,45.88,59.47,94.53,14.2,1641.4,0.27,0
no,20267,2.78,0.97,96.14,2.65,0.86,11.31,22.26,10.57,13.26,20267,100,65994,82.91,0.82,68.06,26.04,2.47,17.26,74891,30615,30896,12848,8040,32906,10921,526,2.63,1.85,5.96,54.85,3.64,65.38,13.01,38.2,4.34,52.31,4.48,30.98,7.1,5.88,3.18,87.45,86.86,91.11,87.61,50.51,60.52,79,0.54,1572,11.96,15.39,20.61,23.85,0.93,1.19,1.6,1.85,90.4,0.61,4.45,3.39,2.75,2.86,2.34,82.09,0.7,25.08,3,278,96.32,78.99,2.88,33.81,1945,0.26,0.15,228200,293700,398000,169800,531,755,1001,470,856,22.7,21.3,13.1,0,0,7.76,68.32,66.84,87.16,92.63,6.3,3239.4,8.84,0
no,12996,2.9,2.7,93.65,3.09,1.46,11.06,24.36,11.87,11.73,12312,94.74,57561,83.88,1.67,68.04,23.22,3.59,17.95,64537,24590,25094,20095,13906,16605,17625,204,1.72,1.81,7.1,42.82,2.78,68.39,20.79,34.91,4.75,43.01,6.86,32.98,8.6,7.68,3.13,85.8,85.79,93.49,81.47,68.04,74.15,35,0.41,1067,8.34,10.68,23.52,29.71,0.68,0.88,1.93,2.44,92.54,0.48,3.7,2.75,2.66,2.88,2.1,77.4,0.63,27.16,3,123,97.33,71.33,0.81,39.02,1961,0.16,0.78,189800,228200,277600,87800,524,712,954,430,817,26.3,17.9,12.6,0,0,8.21,58.58,63.57,80.41,85.63,14.2,912.9,2.18,0
yes,98640,2.57,2.18,82.95,0.63,39.51,14.19,25.22,12.35,14.32,98640,100,20501,67.49,0.48,32.1,31.41,12.47,23.25,24997,10168,10872,6901,6879,9397,7040,20778,21.65,12.19,26.79,13.77,9.28,49.54,13.12,29.22,15.46,23.4,12.64,28.72,15.24,14.02,3.07,64.25,60.53,65.2,68.41,54.21,63.38,3248,3.75,2234,13.65,18.53,23.63,27.62,0.31,0.42,0.54,0.63,81.47,1.72,4.91,3.41,2.5,2.58,2.36,66.74,3.73,51.39,2,2538,93.79,64.81,8.2,52.92,1957,6.42,0.29,36300,48700,66200,29900,172,250,325,153,303,28.1,20.8,12.7,92,56,2.26,68.27,56.18,85.83,92.32,37.2,2651.9,1.11,2.99
yes,24124,2.9,10.84,87.86,0.61,2.53,15.47,24.75,11.96,9.45,24124,100,34492,81.69,0.54,43.4,24.04,4.49,16.25,38432,13396,14327,6112,8936,11386,11800,2391,10.08,6.88,19.36,23.65,5.46,60.49,12.53,24.35,7.99,33.68,7.64,25.32,11.61,9.74,3.22,78.86,76.23,87.83,77.38,56.86,66.77,373,2.01,555,9.91,14.77,26.67,32.97,0.23,0.34,0.61,0.76,95.33,0.21,4.67,3.76,2.85,2.88,2.75,76.12,2.14,21.39,3,765,91.58,75.22,8.24,50.85,1971,2.79,0.13,53400,67800,85400,32000,272,353,438,166,463,25.6,19.1,12,0,0,2.3,56.27,58.36,77.25,87.77,9.7,2491.1,0.67,0
yes,31997,2.1,1.31,77.21,20.33,5.56,7.06,19.08,7.18,18.28,31997,100,46395,75.25,0.75,55.83,30.35,2.78,13.67,60628,31758,34683,23706,0,22487,17705,1914,5.99,8.23,15.14,42.2,4.77,60.52,13.81,25.96,4.09,46.8,8.4,27.18,9.99,9.25,2.8,83.64,83.02,93.89,73.84,36.97,46.85,129,0.67,11230,32.94,40.53,45.36,50.33,11.56,14.22,15.92,17.66,59.46,10.01,2.05,1.19,2.1,2.16,2.02,59.99,4.06,76.35,2,1611,90.44,58.44,2.73,46.18,1965,0.47,0.37,218300,283000,372200,153900,436,702,1001,565,728,25,25.1,16,0,0,35.1,23.58,53.89,70.42,73.88,2.6,12212.6,20.57,0
