id,geschlecht,alter,groesse,gewicht,einkommen,bildung,konfession,kinder,glueck,fitness,essen,alkohol,tattoos,rhein,datause,arztbesuche,wandern,fasnacht,sehhilfe
2700,f,52,136.9,61.3,7700,obligatorisch,katholisch,2,7,5,1170,25,0,3,104,1,39,nein,ja
2701,m,73,181.3,101.9,12300,sek II,konfessionslos,1,4,6,1030,33,2,2,95,5,105,nein,ja
2702,m,48,173.6,91.7,10400,lehre,evangelisch-reformiert,1,3,2,490,65,6,5,99,1,50,nein,nein
2703,f,68,155.7,70.2,11200,sek III,evangelisch-reformiert,0,6,8,950,27,0,4,82,3,104,nein,ja
2704,m,40,162,73.9,7100,lehre,katholisch,2,4,4,230,48,7,5,98,4,77,nein,ja
2705,f,26,161.7,90.6,5300,sek II,katholisch,2,10,5,780,43,4,6,97,9,20,nein,nein
2706,f,59,157.3,67.6,NA,sek III,konfessionslos,1,9,3,NA,25,4,2,102,3,72,nein,ja
2707,m,35,173.6,90.9,8000,obligatorisch,evangelisch-reformiert,2,6,7,760,28,6,2,111,6,9,nein,nein
2708,f,49,156,74.6,9000,lehre,NA,1,5,5,980,16,0,5,90,2,64,nein,ja
2709,m,63,175.8,105.7,9700,sek III,konfessionslos,1,2,5,790,32,8,4,61,1,68,nein,nein
2710,f,38,167.3,66.4,6500,lehre,muslimisch,4,5,6,630,34,5,1,65,5,83,nein,ja
2711,m,29,163.8,NA,6500,sek III,katholisch,1,3,6,570,24,3,3,46,1,46,nein,ja
2712,f,43,179.3,54.2,6400,lehre,evangelisch-reformiert,3,8,3,680,42,0,5,63,3,58,nein,nein
2713,f,25,161.2,60.8,4800,sek III,katholisch,3,6,4,480,32,0,3,97,3,48,nein,ja
2714,m,36,172.7,98.8,5200,sek III,NA,2,6,4,730,0,0,2,71,5,67,nein,ja
2715,f,30,153.6,60.2,4500,obligatorisch,NA,1,5,4,1080,0,1,3,86,7,54,nein,ja
2716,m,48,173.4,103.9,9100,lehre,katholisch,0,2,5,660,23,8,6,83,1,90,nein,ja
2717,f,61,153.7,61.5,9900,sek III,evangelisch-reformiert,3,2,3,720,17,5,5,99,1,52,nein,ja
2718,f,30,162.7,62.2,3500,sek III,katholisch,1,8,5,540,20,7,7,76,4,72,nein,ja
2719,f,73,153.2,69.4,12500,sek III,konfessionslos,1,4,3,1340,0,4,7,76,5,62,nein,ja
2720,f,73,183.4,NA,12300,lehre,evangelisch-reformiert,2,6,3,1250,28,1,8,66,5,63,nein,ja
2721,m,75,175.5,NA,12300,obligatorisch,evangelisch-reformiert,2,5,6,1000,68,0,5,66,2,65,nein,ja
2722,f,42,151,60.7,5800,obligatorisch,muslimisch,1,6,2,970,0,1,5,99,3,32,nein,ja
2723,f,30,156.3,64.3,5000,sek III,konfessionslos,1,7,2,530,14,0,2,107,5,95,nein,ja
2724,f,73,162,NA,13000,obligatorisch,konfessionslos,2,8,4,1700,33,0,6,92,5,37,nein,nein
2725,m,50,159,79.4,8900,lehre,evangelisch-reformiert,0,4,4,240,72,7,3,69,2,76,nein,nein
2726,m,26,184.5,85.3,5000,obligatorisch,evangelisch-reformiert,0,6,7,620,0,7,7,71,2,44,ja,ja
2727,m,52,182.9,115.3,9800,obligatorisch,konfessionslos,1,8,5,910,26,2,3,85,2,71,nein,nein
2728,f,33,178.4,76.3,5800,sek II,muslimisch,1,7,1,290,37,0,5,56,6,56,nein,ja
2729,f,31,170,58,4700,lehre,konfessionslos,1,4,6,80,6,0,11,103,3,60,nein,nein
2730,m,19,184.1,61.6,NA,obligatorisch,katholisch,1,8,3,NA,38,0,1,111,2,79,nein,nein
2731,m,46,183.7,92.1,8000,sek II,konfessionslos,2,4,6,1100,0,7,4,73,1,65,nein,nein
2732,m,31,195,104.4,7500,lehre,evangelisch-reformiert,3,6,6,440,62,5,0,90,3,82,nein,ja
2733,f,46,150,54.9,7700,lehre,katholisch,1,3,1,530,39,2,4,131,5,37,nein,ja
2734,f,52,170,60.1,7900,lehre,katholisch,0,6,5,470,41,3,0,66,4,42,nein,ja
2735,f,61,170.5,75.9,NA,lehre,katholisch,1,4,2,NA,27,8,5,122,6,57,nein,ja
2736,m,34,178.8,NA,NA,sek III,katholisch,2,6,7,NA,64,4,6,72,4,39,nein,ja
2737,m,52,191.3,99.9,9900,sek II,katholisch,3,2,7,680,36,8,8,75,7,41,nein,ja
2738,f,47,170,63.9,6600,sek III,evangelisch-reformiert,1,8,4,540,32,7,4,95,1,80,nein,nein
2739,m,44,180.9,91.2,9900,sek III,evangelisch-reformiert,2,8,7,590,64,5,7,139,2,99,nein,ja
2740,f,38,164.9,68.4,6900,sek III,evangelisch-reformiert,3,5,7,760,40,0,1,124,7,53,nein,ja
2741,m,71,171.8,85.3,12600,lehre,katholisch,2,7,7,1580,49,0,2,77,4,71,nein,ja
2742,m,37,162.1,75.6,7400,sek III,NA,2,5,5,750,48,3,0,86,3,65,nein,nein
2743,m,83,164.8,NA,13400,lehre,konfessionslos,2,5,3,1250,64,0,0,54,3,12,nein,nein
2744,f,42,161.5,56.4,NA,obligatorisch,NA,1,6,3,NA,12,5,0,92,6,72,nein,ja
2745,f,51,170.3,69.5,NA,lehre,evangelisch-reformiert,2,5,2,NA,10,0,3,66,5,58,nein,nein
2746,m,73,185.7,65.9,12800,sek III,andere,4,7,5,1490,32,8,2,92,5,50,nein,ja
2747,f,50,165.1,77.7,9700,lehre,evangelisch-reformiert,2,6,3,1140,0,4,0,118,3,41,nein,ja
2748,f,66,172,56.8,10600,lehre,katholisch,1,6,4,930,13,4,4,88,4,81,nein,nein
2749,f,73,180.1,NA,10800,lehre,andere,2,3,7,960,26,1,3,100,4,70,nein,ja
2750,m,27,178.5,87.2,4800,sek III,evangelisch-reformiert,1,5,3,670,26,0,7,96,6,81,nein,ja
2751,m,63,170.2,84.8,NA,sek III,katholisch,2,6,4,NA,39,0,3,80,4,78,nein,ja
2752,f,66,161.5,61.5,NA,sek III,katholisch,1,10,3,NA,24,0,6,72,3,59,nein,nein
2753,m,46,184.8,89.6,7000,lehre,konfessionslos,4,3,7,680,22,0,5,68,7,55,nein,nein
2754,f,32,160.8,66.3,NA,sek III,evangelisch-reformiert,4,7,4,NA,46,1,0,94,3,49,nein,ja
2755,m,77,174.9,91.2,NA,sek III,NA,2,6,4,NA,35,2,1,111,4,76,nein,nein
2756,f,70,173.3,51.7,10900,sek III,katholisch,1,9,5,1440,17,0,5,86,3,56,nein,nein
2757,f,33,151.8,58.6,5700,sek III,NA,2,6,3,820,36,0,6,78,3,19,nein,nein
2758,m,42,162.9,102.9,5300,sek II,evangelisch-reformiert,1,6,8,500,33,1,6,109,4,73,nein,ja
2759,f,73,162.6,NA,10700,sek III,NA,2,8,4,1250,23,0,6,102,3,38,nein,ja
2760,f,63,185.8,53.1,10400,lehre,katholisch,0,6,6,1380,0,0,0,96,6,67,nein,ja
2761,m,62,164.9,79.6,11200,sek III,konfessionslos,2,7,4,1350,28,0,5,95,3,44,nein,ja
2762,f,51,141.4,66.2,10800,lehre,andere,3,3,3,900,25,1,2,74,2,50,nein,ja
2763,f,88,144.9,70.1,15000,lehre,andere,1,6,9,1450,28,0,7,61,8,59,nein,ja
2764,m,28,167.7,93.1,6500,obligatorisch,konfessionslos,2,4,6,480,25,0,6,81,3,10,nein,ja
2765,m,73,184.9,NA,10700,lehre,evangelisch-reformiert,1,7,5,1150,32,0,0,67,3,0,nein,nein
2766,m,22,177.9,51.4,3700,lehre,katholisch,2,4,8,20,64,6,4,89,3,24,nein,ja
2767,f,44,148.8,49.7,6300,sek II,katholisch,0,7,9,940,0,2,3,86,6,41,nein,nein
2768,f,22,142,62.7,3800,lehre,katholisch,3,7,4,680,0,5,3,86,3,50,nein,ja
2769,f,36,174,59.4,NA,sek III,NA,0,4,4,NA,17,0,3,105,5,83,nein,ja
2770,f,58,143.6,65.3,7700,lehre,katholisch,2,8,4,770,34,0,3,74,6,60,nein,ja
2771,m,42,171.9,61.1,7400,sek III,muslimisch,1,8,7,370,60,0,4,90,2,69,nein,ja
2772,m,73,168.9,96.2,11000,sek III,katholisch,3,5,7,1310,32,5,7,107,4,48,nein,nein
2773,f,28,175.6,82.1,4700,obligatorisch,katholisch,0,9,8,390,24,6,4,88,8,56,nein,ja
2774,f,72,172.8,66.9,13700,sek III,katholisch,3,7,6,1850,21,0,1,97,5,64,nein,nein
2775,f,93,147.4,53.2,NA,lehre,katholisch,2,6,3,NA,40,5,7,107,7,54,nein,nein
2776,f,78,149,69.2,9800,lehre,katholisch,2,6,6,1120,21,4,5,87,3,72,nein,nein
2777,f,25,174.5,57.5,4600,sek III,konfessionslos,1,9,5,690,21,0,3,82,6,46,nein,ja
2778,m,54,171.6,NA,7000,obligatorisch,andere,2,7,6,490,47,0,1,90,4,25,nein,ja
2779,m,20,176.3,101.7,NA,lehre,konfessionslos,2,5,5,NA,30,7,4,76,6,94,nein,nein
2780,f,32,165.4,NA,7700,lehre,evangelisch-reformiert,0,6,7,780,15,0,7,76,7,45,nein,ja
2781,m,61,153,100.5,10500,sek III,andere,4,4,5,710,35,0,0,99,5,74,nein,nein
2782,m,49,177,NA,8800,lehre,evangelisch-reformiert,4,4,4,850,55,5,1,91,1,60,nein,ja
2783,m,62,161.2,75.7,9100,sek III,evangelisch-reformiert,1,6,2,730,62,0,5,57,4,124,nein,ja
2784,m,48,183.1,89.7,10000,lehre,NA,2,6,5,1530,0,0,6,63,3,68,nein,nein
2785,m,82,189.2,95.3,12900,sek III,konfessionslos,1,7,2,1360,42,0,4,48,1,21,nein,ja
2786,m,97,185.2,NA,15000,sek III,konfessionslos,1,8,8,2070,27,3,2,112,2,69,nein,ja
2787,f,18,165.8,59.6,5100,lehre,NA,3,4,4,440,30,7,4,99,3,65,nein,nein
2788,m,50,181.9,NA,7300,sek III,evangelisch-reformiert,0,6,8,800,0,5,2,87,3,72,nein,nein
2789,m,28,192.3,66.1,4900,sek III,andere,1,4,6,570,19,0,4,101,2,88,nein,nein
2790,f,50,171.9,64.5,8200,lehre,konfessionslos,1,5,7,800,30,0,1,103,7,57,nein,ja
2791,m,24,186.2,70.9,5000,lehre,konfessionslos,0,6,5,590,23,0,5,86,2,41,nein,ja
2792,m,73,184.6,86.3,10800,lehre,evangelisch-reformiert,1,9,3,1910,0,0,7,89,3,58,nein,ja
2793,f,20,163.6,59.1,5400,sek III,katholisch,1,7,5,680,19,3,3,73,6,31,nein,ja
2794,f,73,164,62.7,12300,lehre,katholisch,3,7,4,1130,29,0,6,82,4,41,nein,ja
2795,m,33,167.8,94.3,8500,sek III,konfessionslos,3,5,6,900,32,0,6,90,3,72,nein,ja
2796,m,30,187.4,92.8,3700,lehre,konfessionslos,2,9,8,470,32,0,5,87,4,27,nein,nein
2797,m,69,168,93,11300,sek III,NA,3,10,5,1300,46,0,5,86,4,45,nein,nein
2798,f,38,182.9,65,5300,lehre,katholisch,1,6,7,530,0,0,4,108,2,57,nein,ja
2799,f,67,169.5,69.4,10700,sek III,konfessionslos,1,9,5,1120,35,5,1,110,3,61,nein,nein
2800,f,54,186.5,70.6,9400,lehre,NA,1,7,6,850,41,0,0,105,4,38,nein,ja
2801,m,62,176.7,83.9,9300,obligatorisch,konfessionslos,3,6,2,1210,10,0,3,99,3,78,nein,ja
2802,m,60,163.4,75.1,10000,lehre,muslimisch,1,8,6,1030,40,0,0,87,4,55,nein,nein
2803,m,54,182.4,79.2,7500,obligatorisch,katholisch,3,2,4,-30,38,1,4,85,4,81,nein,ja
2804,m,96,186.8,90.7,15400,sek III,katholisch,2,5,6,1470,33,0,6,67,2,92,nein,nein
2805,f,73,166.1,75.2,NA,sek II,evangelisch-reformiert,3,7,2,NA,32,0,4,97,6,47,nein,nein
2806,m,73,188.8,NA,12800,lehre,evangelisch-reformiert,2,3,5,1450,0,5,4,97,2,67,nein,nein
2807,m,36,189.9,NA,8100,sek III,konfessionslos,2,3,4,780,32,0,4,108,3,76,nein,ja
2808,m,70,181.5,84.9,13800,sek III,evangelisch-reformiert,2,6,4,1570,0,0,0,109,2,74,nein,ja
2809,m,62,176,NA,10300,lehre,katholisch,2,4,4,1170,18,2,3,85,1,76,nein,ja
2810,f,60,159.3,66,9200,lehre,konfessionslos,3,5,4,880,27,0,4,114,5,62,nein,nein
2811,m,61,187.6,NA,8500,sek III,katholisch,0,9,1,1310,0,6,4,63,4,109,nein,nein
2812,f,73,161.9,64.4,13800,lehre,NA,2,4,7,1500,20,3,0,41,6,68,nein,ja
2813,m,59,169.7,76.4,NA,lehre,katholisch,1,8,6,NA,0,0,8,117,3,44,nein,nein
2814,m,27,179.4,95.1,3000,lehre,katholisch,2,7,3,510,26,2,1,89,4,58,nein,ja
2815,f,73,170.3,76.2,12400,lehre,katholisch,1,7,6,1580,13,0,6,137,4,61,nein,ja
2816,m,24,181.2,90.4,NA,sek III,katholisch,2,10,5,NA,61,1,7,103,3,59,nein,nein
2817,f,53,159.8,78.8,8700,lehre,muslimisch,1,8,7,1440,8,4,7,87,4,74,nein,nein
2818,f,23,156.5,59.4,NA,lehre,konfessionslos,0,6,5,NA,27,2,7,101,6,77,nein,nein
2819,m,55,180.9,75.3,8700,lehre,konfessionslos,1,7,5,740,43,0,4,104,3,38,nein,nein
2820,f,32,160.1,68.5,NA,lehre,katholisch,2,4,8,NA,32,0,2,82,6,39,nein,ja
2821,m,53,176.8,90.7,7600,sek III,evangelisch-reformiert,3,5,3,940,0,8,2,90,3,62,nein,ja
2822,m,21,176.2,89.7,3300,sek III,katholisch,2,10,4,170,46,0,7,97,2,96,nein,ja
2823,m,66,183.3,84.7,9200,lehre,NA,1,6,6,1320,15,2,10,91,2,55,nein,ja
2824,f,52,174.4,62.9,9400,obligatorisch,andere,2,4,3,980,0,6,4,103,2,24,nein,ja
2825,m,27,182.4,69.2,NA,sek III,katholisch,1,5,8,NA,62,3,4,80,5,73,nein,ja
2826,f,73,171.1,NA,10800,obligatorisch,konfessionslos,3,8,8,1780,0,0,5,85,9,77,nein,ja
2827,m,73,170.1,56.3,12100,sek III,NA,2,6,1,1320,40,9,7,71,3,62,nein,ja
2828,f,56,159.5,67.1,11500,sek III,konfessionslos,2,6,5,1410,12,0,7,51,8,38,nein,ja
2829,f,37,172.3,58.7,6100,sek III,katholisch,1,9,4,1010,22,0,2,40,4,66,nein,ja
2830,f,31,157.7,60.8,6700,sek III,evangelisch-reformiert,2,9,7,1090,0,0,1,91,5,66,nein,nein
2831,f,61,142.6,60.7,10600,sek III,katholisch,1,8,6,1050,27,2,5,79,8,94,nein,ja
2832,f,73,176.2,62.3,12400,obligatorisch,evangelisch-reformiert,3,6,7,1360,18,3,3,59,6,93,nein,ja
2833,f,67,161.3,80.6,12700,sek III,konfessionslos,1,8,7,1580,4,4,1,106,4,46,nein,nein
2834,m,32,174.2,NA,5400,lehre,evangelisch-reformiert,1,2,2,130,54,4,3,91,4,34,nein,ja
2835,m,20,165.7,NA,4000,sek III,NA,1,4,9,80,24,0,4,47,5,28,nein,ja
2836,f,47,170.6,66.9,9200,sek III,katholisch,3,9,4,1390,10,0,4,86,5,83,nein,ja
2837,f,40,154.5,NA,5600,sek II,muslimisch,1,7,4,750,38,0,5,100,5,70,nein,nein
2838,m,52,174.9,93.8,8200,sek II,NA,1,8,6,610,52,1,7,98,5,34,nein,ja
2839,m,50,173.8,83.1,8000,sek III,katholisch,2,6,6,310,81,0,1,91,5,30,nein,ja
2840,f,39,149.8,77,7500,sek III,NA,2,6,6,670,34,0,10,67,3,46,ja,ja
2841,m,52,165.3,97.3,9800,sek II,evangelisch-reformiert,0,7,2,1270,37,0,3,85,2,100,nein,ja
2842,f,51,180.3,78.5,6000,obligatorisch,evangelisch-reformiert,1,8,8,1010,0,0,6,68,5,50,nein,ja
2843,m,50,171,NA,8300,lehre,konfessionslos,4,4,4,300,29,0,2,76,3,78,nein,nein
2844,f,73,152.8,66.1,11900,sek III,konfessionslos,2,6,4,1120,11,0,3,71,4,49,nein,ja
2845,f,40,179.5,NA,6200,lehre,NA,1,5,3,1320,0,0,8,54,2,57,nein,nein
2846,f,73,168,71.6,13000,lehre,konfessionslos,0,5,2,1250,31,0,11,135,4,73,nein,nein
2847,m,73,186.3,71.3,12700,sek III,evangelisch-reformiert,1,8,3,1150,60,0,3,124,2,69,nein,nein
2848,f,46,165.5,63.7,7000,sek II,katholisch,2,3,6,680,10,1,7,107,4,74,nein,ja
2849,m,73,188.1,72.1,14100,lehre,konfessionslos,2,6,5,2010,0,0,1,67,0,85,nein,ja
2850,f,73,160.2,62.6,11400,sek III,konfessionslos,0,4,6,1150,21,0,6,103,5,32,nein,ja
2851,m,34,193.2,67.8,4600,obligatorisch,katholisch,0,5,8,230,41,0,2,82,2,92,nein,ja
2852,m,73,168.1,107.1,11500,obligatorisch,konfessionslos,2,8,8,1350,63,0,7,40,1,59,nein,ja
2853,m,73,161.9,91.6,NA,sek III,konfessionslos,1,7,5,NA,60,0,3,88,3,39,nein,ja
2854,m,23,182.3,89.4,NA,sek II,muslimisch,3,6,9,NA,0,0,4,102,3,32,nein,ja
2855,m,22,182.3,91.3,5500,sek III,muslimisch,1,8,2,250,45,0,7,85,4,68,nein,ja
2856,m,73,183.6,85.8,13500,sek II,katholisch,1,4,5,1630,0,0,3,57,3,81,nein,nein
2857,m,43,178,90.1,7700,sek III,katholisch,1,8,9,800,33,6,9,92,3,64,nein,nein
2858,f,75,156.6,67.4,11500,lehre,katholisch,1,4,6,1010,24,0,4,96,8,11,nein,nein
2859,m,73,173.5,73.9,11400,sek III,konfessionslos,1,6,3,1080,42,0,3,120,4,0,nein,nein
2860,m,56,181.1,66,10600,lehre,katholisch,4,5,3,1270,0,6,5,81,4,53,nein,ja
2861,m,73,159.8,81.1,10400,sek III,andere,4,8,4,910,32,0,0,56,1,19,nein,ja
2862,f,55,179,67.4,9900,lehre,muslimisch,0,7,6,1160,11,0,5,57,2,40,nein,ja
2863,m,29,191.7,105.4,4900,sek III,katholisch,1,7,4,160,54,0,2,115,6,36,nein,ja
2864,f,57,173.4,63.9,8900,lehre,evangelisch-reformiert,2,5,5,1090,0,8,5,109,9,70,nein,ja
2865,f,80,172.6,70.1,13400,obligatorisch,evangelisch-reformiert,1,7,6,1420,23,6,1,110,6,103,nein,ja
2866,m,54,189.5,100.6,8600,lehre,NA,2,9,4,950,48,5,0,85,4,49,nein,ja
2867,m,73,164.1,NA,12200,sek III,konfessionslos,2,3,7,1320,23,0,5,70,1,49,nein,nein
2868,f,73,173.9,68.8,11200,sek II,andere,3,8,4,1030,15,4,7,67,4,66,nein,ja
2869,f,77,184.5,67.3,12300,lehre,katholisch,1,2,3,1040,10,6,3,80,6,26,nein,ja
2870,f,44,172.5,72.9,7800,lehre,evangelisch-reformiert,1,5,2,860,0,0,1,66,2,42,nein,ja
2871,m,48,188.3,65.9,5600,sek III,konfessionslos,1,5,5,720,16,3,4,108,5,83,nein,nein
2872,m,73,169.8,111.5,NA,sek III,katholisch,2,7,6,NA,59,0,4,56,2,72,nein,ja
2873,f,66,169.8,58.5,10300,lehre,NA,1,8,6,1100,27,7,2,84,6,94,nein,ja
2874,f,33,154.8,NA,4400,lehre,NA,4,4,3,170,22,0,0,75,12,58,nein,ja
2875,f,46,167,64.2,NA,lehre,katholisch,1,6,7,NA,20,3,5,97,5,54,nein,nein
2876,f,79,168.2,58.3,14000,sek III,evangelisch-reformiert,3,6,5,1560,27,4,11,72,5,55,nein,nein
2877,m,47,179.4,85.4,8900,obligatorisch,katholisch,3,7,7,730,41,3,1,117,3,64,nein,ja
2878,f,59,162.8,65.8,9900,lehre,evangelisch-reformiert,4,6,6,1060,24,0,8,121,4,51,nein,ja
2879,f,27,169,67.7,NA,obligatorisch,konfessionslos,0,7,3,NA,31,0,8,105,3,41,nein,ja
2880,f,50,185.9,63.1,6700,lehre,evangelisch-reformiert,3,5,4,570,34,0,2,106,1,75,nein,ja
2881,m,32,146.3,78.6,5500,sek III,konfessionslos,1,7,6,680,47,0,4,80,5,48,nein,ja
2882,f,21,139.9,86.1,3500,obligatorisch,evangelisch-reformiert,2,8,8,360,26,0,4,59,9,20,nein,ja
2883,f,36,168.8,62.7,4800,sek II,andere,2,8,5,520,22,0,3,65,5,34,nein,ja
2884,f,63,143.1,62.6,8800,sek II,NA,3,7,2,820,11,0,2,81,3,65,nein,ja
2885,f,21,161.3,NA,3400,sek II,katholisch,1,4,2,430,0,0,2,68,4,84,nein,ja
2886,f,36,169.8,58.4,8200,sek II,konfessionslos,2,5,5,520,29,0,3,85,4,74,nein,ja
2887,f,27,148.7,45.7,4600,lehre,andere,2,7,4,340,22,0,5,98,4,78,nein,ja
2888,m,65,165.9,NA,9100,sek III,NA,2,8,8,340,45,2,6,118,3,91,nein,nein
2889,m,27,188.5,83.3,NA,sek II,evangelisch-reformiert,3,6,5,NA,43,5,8,83,4,95,nein,ja
2890,f,42,157.8,51.9,NA,obligatorisch,katholisch,2,9,7,NA,0,0,5,106,4,104,nein,nein
2891,f,58,168,59.4,9700,sek III,NA,0,6,5,1060,18,5,3,87,4,40,nein,ja
2892,f,29,154.4,60.5,NA,sek II,konfessionslos,0,8,7,NA,39,0,3,67,4,102,nein,nein
2893,f,83,154.5,53,14900,sek III,katholisch,4,2,7,1570,22,0,7,106,8,80,nein,ja
2894,f,75,173.1,71.4,11500,lehre,muslimisch,1,8,2,1490,20,10,3,51,5,58,nein,ja
2895,m,61,166.3,97.5,8700,lehre,evangelisch-reformiert,2,7,3,1020,30,6,6,123,2,57,nein,ja
2896,f,53,165.1,58.8,NA,lehre,katholisch,2,7,3,NA,37,7,5,98,3,66,nein,nein
2897,m,35,176.1,NA,5800,lehre,evangelisch-reformiert,1,5,1,370,31,0,7,97,1,91,nein,ja
2898,m,21,182.1,NA,4300,sek III,evangelisch-reformiert,3,8,3,230,41,3,6,99,2,24,nein,nein
2899,f,65,161.5,57.9,10800,obligatorisch,konfessionslos,1,9,3,1450,0,3,7,79,3,41,nein,nein
2900,f,40,166.8,68.6,5600,lehre,NA,3,9,2,620,27,9,4,83,5,60,nein,nein
2901,m,73,173.5,NA,12300,sek III,katholisch,0,5,4,1040,38,0,6,105,2,89,nein,ja
2902,m,62,174.7,87.4,10600,sek III,evangelisch-reformiert,2,7,5,890,66,4,5,89,3,16,nein,ja
2903,m,73,164.9,97.6,12500,sek II,katholisch,3,6,3,1160,35,0,4,82,3,56,nein,nein
2904,f,50,163.4,58.4,9300,sek III,katholisch,0,8,8,890,25,0,4,95,6,47,nein,ja
2905,m,38,151.8,79.8,7700,lehre,katholisch,1,4,9,570,39,6,3,99,2,75,nein,ja
2906,f,52,174.3,66.4,9100,lehre,katholisch,2,7,5,1320,0,2,5,81,1,58,nein,nein
2907,f,81,176.6,55.8,13000,sek III,muslimisch,3,5,3,1240,32,5,4,112,5,62,nein,nein
2908,f,56,158.4,59.2,9300,sek III,katholisch,1,2,7,640,48,0,1,62,1,0,nein,nein
2909,m,45,164.5,84.3,8400,sek III,evangelisch-reformiert,1,5,6,1150,0,0,4,94,3,101,nein,ja
2910,m,63,174.3,75.9,7600,sek III,andere,4,9,6,1300,28,0,1,117,3,81,nein,ja
2911,f,48,171.5,70.9,8800,obligatorisch,katholisch,2,4,3,1110,20,0,6,68,3,69,nein,ja
2912,f,60,156.4,73.9,11900,sek III,katholisch,2,6,4,1410,21,6,6,85,6,98,nein,ja
2913,m,49,183.6,75,7600,sek III,evangelisch-reformiert,4,7,7,1040,23,5,7,88,4,94,nein,ja
2914,m,49,172.2,90.4,7500,lehre,evangelisch-reformiert,3,5,4,860,42,0,0,135,2,24,nein,ja
2915,f,36,159,75.4,7800,lehre,NA,1,7,6,740,45,1,2,105,3,65,nein,nein
2916,m,57,166.2,NA,11900,lehre,konfessionslos,1,4,3,580,56,2,4,110,2,56,nein,ja
2917,m,29,195.3,95.1,NA,obligatorisch,andere,1,6,6,NA,42,0,8,87,1,53,nein,ja
2918,m,73,169.5,100.9,14700,sek III,evangelisch-reformiert,1,5,4,1570,11,3,2,101,2,56,nein,ja
2919,f,58,171.1,67.1,10600,sek III,konfessionslos,1,3,3,1270,0,0,3,115,5,56,nein,nein
2920,f,39,162.1,58.8,NA,sek III,NA,1,3,6,NA,33,0,4,70,4,52,nein,ja
2921,m,43,180.6,89.4,NA,sek III,evangelisch-reformiert,1,3,5,NA,35,0,4,114,4,44,nein,ja
2922,f,55,144.8,64.8,10400,sek III,katholisch,1,9,4,620,36,0,6,63,4,86,nein,ja
2923,m,28,170,82.5,6000,sek III,katholisch,1,7,8,660,37,0,1,111,3,52,nein,nein
2924,m,30,196,85.1,6000,sek III,NA,3,6,9,630,31,7,2,71,4,33,nein,nein
2925,f,48,160.7,58.7,8700,lehre,konfessionslos,3,8,3,780,0,5,4,105,3,71,nein,ja
2926,f,34,148.1,59.6,5900,obligatorisch,katholisch,1,5,4,510,20,4,3,129,8,71,nein,ja
2927,f,73,143.3,64.2,NA,lehre,muslimisch,2,5,5,NA,23,0,6,80,2,58,nein,nein
2928,f,54,153.3,67.4,11600,lehre,konfessionslos,0,5,4,1030,41,0,10,97,5,40,nein,nein
2929,m,49,191.2,74.8,7000,lehre,evangelisch-reformiert,1,5,4,680,31,5,3,79,4,93,nein,ja
2930,m,24,169.7,67.6,3600,sek III,evangelisch-reformiert,1,8,9,300,25,3,5,79,2,91,nein,ja
2931,f,31,168.1,74.2,6500,sek III,konfessionslos,1,4,6,660,23,1,11,113,4,59,nein,ja
2932,f,41,178,65.9,6600,obligatorisch,NA,2,7,5,650,7,0,2,98,3,57,nein,ja
2933,f,50,179,54.8,NA,lehre,katholisch,1,4,6,NA,0,8,2,91,3,82,nein,ja
2934,m,29,185.8,89.3,6000,sek III,konfessionslos,2,3,3,360,22,0,0,103,3,69,nein,nein
2935,f,59,184.2,73.2,8200,sek III,konfessionslos,3,6,4,1000,20,5,6,70,4,51,nein,ja
2936,m,26,169.4,58.4,3200,sek III,evangelisch-reformiert,1,6,5,590,15,2,5,90,4,100,nein,ja
2937,f,46,172.5,69.6,8300,lehre,NA,0,4,5,610,25,2,2,91,2,22,nein,ja
2938,f,61,169.3,52.2,9700,lehre,evangelisch-reformiert,2,6,6,1070,30,3,4,155,4,77,nein,nein
2939,m,56,174,76.3,10300,sek III,evangelisch-reformiert,1,4,2,1030,28,0,2,115,3,60,nein,ja
2940,f,59,154.7,63,9600,sek II,NA,3,4,5,890,19,0,0,79,4,84,nein,ja
2941,f,70,165.2,53.8,9100,sek III,NA,2,6,4,720,42,4,5,103,3,61,nein,ja
2942,f,37,171.1,68.3,6400,lehre,konfessionslos,3,3,6,710,0,0,8,81,7,94,nein,nein
2943,f,54,164,59.6,9000,sek III,evangelisch-reformiert,3,7,8,1050,38,0,0,42,5,44,nein,ja
2944,m,78,196.6,59.2,12700,sek III,evangelisch-reformiert,0,9,2,1410,24,0,3,110,6,74,nein,ja
2945,m,39,179.5,96.8,NA,sek III,NA,5,5,5,NA,31,2,3,108,3,48,nein,ja
2946,f,40,168.8,NA,NA,lehre,NA,3,3,5,NA,31,0,4,61,5,28,nein,ja
2947,m,39,180.2,NA,NA,sek III,katholisch,1,9,6,NA,0,0,1,97,3,0,nein,nein
2948,f,58,155.3,70.1,11300,obligatorisch,NA,0,5,5,890,31,7,0,113,5,58,nein,ja
2949,m,37,174.9,74.6,3600,sek II,evangelisch-reformiert,1,7,3,230,33,0,6,116,3,44,nein,ja
2950,f,73,167.3,60.3,12000,sek III,konfessionslos,1,5,5,1320,18,0,0,106,10,59,nein,nein
2951,f,73,156.9,50.8,9400,sek II,evangelisch-reformiert,2,5,1,1060,20,0,3,101,5,54,nein,ja
2952,f,27,173.9,88.7,3800,sek II,muslimisch,0,3,3,700,0,0,6,62,2,94,nein,nein
